,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[6, 6, 6, 15]","(0, 1, 3)",black,0,6,black
1,"[6, 6, 6, 15]","(340, 1, 3)",black,0,6,black
2,"[6, 6, 6, 15]","(313, 1, 3)",black,0,7,black
3,"[5, 4, 5, 11]","(330, 1, 3)",black,0,7,black
4,"[6, 6, 6, 15]","(300, 2, 3)",black,0,5,black
5,"[6, 6, 6, 15]","(313, 1, 3)",black,0,5,black
6,"[6, 6, 6, 15]","(313, 1, 3)",black,0,5,black
7,"[6, 6, 6, 15]","(330, 1, 3)",black,0,6,black
8,"[6, 6, 6, 15]","(313, 1, 3)",black,0,5,black
9,"[6, 5, 6, 14]","(300, 2, 3)",black,0,5,black
10,"[6, 6, 6, 15]","(300, 2, 3)",black,0,5,black
11,"[6, 6, 6, 15]","(300, 2, 3)",black,0,5,black
12,"[5, 4, 5, 11]","(300, 2, 3)",black,0,5,black
13,"[4, 4, 4, 10]","(300, 2, 3)",black,0,5,black
14,"[6, 6, 6, 15]","(313, 1, 3)",black,0,5,black
