,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[2, 2, 3, 6]","(255, 14, 1)",black,0,2,black
1,"[1, 1, 2, 4]","(255, 14, 1)",black,0,1,black
2,"[1, 1, 2, 4]","(288, 12, 1)",black,0,2,black
3,"[1, 1, 2, 4]","(279, 12, 1)",black,0,2,black
4,"[1, 1, 2, 4]","(262, 14, 1)",black,0,2,black
5,"[1, 1, 2, 4]","(242, 18, 1)",black,0,2,black
6,"[1, 1, 1, 4]","(60, 8, 1)",black,0,2,black
7,"[1, 1, 1, 3]","(232, 8, 1)",black,0,2,black
8,"[1, 1, 1, 4]","(60, 8, 1)",black,0,2,black
9,"[1, 1, 1, 4]","(60, 8, 1)",black,0,2,black
10,"[1, 1, 1, 4]","(73, 9, 1)",black,0,1,black
11,"[1, 1, 1, 4]","(146, 7, 1)",black,0,2,black
12,"[1, 1, 1, 4]","(73, 8, 1)",black,0,1,black
13,"[1, 1, 1, 3]","(73, 8, 1)",black,0,2,black
14,"[1, 1, 1, 4]","(106, 8, 1)",black,0,2,black
15,"[1, 1, 1, 4]","(73, 8, 1)",black,0,2,black
16,"[1, 1, 1, 4]","(165, 11, 1)",black,0,2,black
17,"[1, 1, 1, 4]","(234, 18, 1)",black,0,2,black
18,"[1, 1, 2, 4]","(231, 16, 1)",black,0,2,black
19,"[1, 1, 2, 4]","(244, 16, 1)",black,0,2,black
20,"[1, 1, 1, 3]","(255, 14, 1)",black,0,2,black
21,"[1, 1, 1, 3]","(270, 14, 1)",black,0,2,black
22,"[1, 1, 2, 4]","(288, 10, 0)",black,0,2,black
23,"[1, 1, 2, 4]","(288, 10, 0)",black,0,2,black
24,"[1, 1, 2, 4]","(288, 12, 1)",black,0,2,black
25,"[1, 1, 2, 4]","(288, 12, 1)",black,0,2,black
26,"[1, 1, 1, 3]","(270, 14, 1)",black,0,2,black
27,"[1, 1, 2, 4]","(270, 14, 1)",black,0,2,black
28,"[1, 1, 2, 4]","(255, 14, 1)",black,0,2,black
29,"[1, 1, 2, 4]","(288, 12, 1)",black,0,2,black
