,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[25, 25, 25, 57]","(274, 0, 11)",black,0,19,black
1,"[22, 21, 22, 49]","(266, 1, 11)",black,0,19,black
2,"[14, 14, 14, 33]","(264, 1, 11)",black,0,19,black
3,"[14, 14, 14, 33]","(272, 1, 11)",black,0,26,black
4,"[22, 21, 22, 50]","(287, 0, 11)",black,0,19,black
5,"[14, 14, 14, 33]","(292, 0, 11)",black,0,19,black
6,"[22, 21, 22, 49]","(315, 0, 11)",black,0,19,black
7,"[22, 21, 21, 49]","(292, 0, 11)",black,0,19,black
8,"[22, 21, 21, 49]","(313, 0, 11)",black,0,25,black
9,"[14, 14, 14, 33]","(330, 0, 11)",black,0,19,black
10,"[22, 21, 21, 49]","(315, 0, 11)",black,0,25,black
11,"[22, 21, 21, 49]","(315, 0, 11)",black,0,19,black
12,"[22, 21, 21, 49]","(315, 0, 11)",black,0,19,black
13,"[22, 21, 21, 49]","(315, 0, 11)",black,0,19,black
14,"[14, 14, 14, 33]","(300, 0, 11)",black,0,19,black
15,"[21, 21, 21, 49]","(300, 0, 11)",black,0,19,black
16,"[14, 14, 14, 33]","(315, 0, 11)",black,0,19,black
17,"[22, 21, 21, 49]","(307, 0, 11)",black,0,19,black
18,"[22, 21, 21, 49]","(307, 0, 11)",black,0,19,black
19,"[21, 21, 21, 49]","(300, 0, 11)",black,0,19,black
20,"[21, 21, 21, 49]","(307, 0, 11)",black,0,19,black
21,"[24, 24, 24, 55]","(307, 0, 11)",black,0,19,black
22,"[22, 21, 21, 49]","(300, 0, 11)",black,0,25,black
23,"[21, 21, 21, 49]","(300, 0, 11)",black,0,19,black
24,"[18, 18, 18, 41]","(307, 0, 11)",black,0,19,black
25,"[21, 21, 21, 48]","(300, 0, 11)",black,0,19,black
26,"[21, 21, 21, 49]","(300, 0, 11)",black,0,19,black
27,"[21, 21, 21, 49]","(315, 0, 11)",black,0,19,black
28,"[21, 21, 21, 49]","(300, 0, 11)",black,0,19,black
29,"[21, 21, 21, 49]","(307, 0, 11)",black,0,19,black
30,"[22, 21, 21, 49]","(300, 0, 11)",black,0,26,black
31,"[18, 17, 18, 41]","(307, 0, 11)",black,0,19,black
32,"[21, 21, 21, 49]","(315, 0, 11)",black,0,19,black
33,"[22, 21, 21, 49]","(307, 0, 11)",black,0,19,black
34,"[21, 21, 21, 49]","(307, 0, 11)",black,0,19,black
35,"[21, 21, 21, 49]","(322, 1, 11)",black,0,19,black
36,"[22, 21, 21, 49]","(307, 0, 11)",black,0,19,black
37,"[21, 21, 21, 49]","(307, 0, 11)",black,0,19,black
38,"[21, 21, 21, 49]","(307, 0, 11)",black,0,19,black
39,"[21, 21, 21, 49]","(300, 0, 11)",black,0,19,black
40,"[21, 21, 21, 49]","(300, 0, 11)",black,0,19,black
41,"[21, 21, 21, 49]","(300, 0, 11)",black,0,19,black
42,"[21, 21, 21, 49]","(292, 0, 11)",black,0,25,black
43,"[21, 21, 21, 49]","(285, 0, 11)",black,0,19,black
44,"[21, 21, 21, 49]","(285, 0, 11)",black,0,19,black
45,"[21, 21, 21, 49]","(292, 0, 11)",black,0,19,black
46,"[21, 21, 21, 49]","(292, 0, 11)",black,0,19,black
47,"[21, 21, 21, 48]","(292, 0, 11)",black,0,19,black
48,"[21, 21, 21, 49]","(277, 0, 11)",black,0,25,black
49,"[21, 21, 21, 49]","(286, 0, 11)",black,0,18,black
50,"[21, 21, 21, 49]","(270, 0, 11)",black,0,18,black
51,"[22, 21, 21, 49]","(293, 0, 11)",black,0,18,black
52,"[26, 26, 26, 60]","(307, 0, 11)",black,0,19,black
53,"[21, 21, 21, 49]","(286, 0, 11)",black,0,18,black
54,"[21, 21, 21, 49]","(300, 0, 11)",black,0,18,black
55,"[21, 21, 21, 49]","(300, 0, 11)",black,0,18,black
56,"[21, 21, 21, 49]","(290, 0, 11)",black,0,19,black
57,"[21, 21, 21, 49]","(286, 0, 11)",black,0,17,black
58,"[14, 14, 14, 33]","(274, 0, 11)",black,0,18,black
59,"[21, 21, 21, 49]","(300, 0, 11)",black,0,18,black
