,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[35, 37, 37, 84]","(182, 4, 19)",black,0,43,black
1,"[36, 37, 37, 84]","(183, 4, 19)",black,0,32,black
2,"[35, 37, 37, 83]","(180, 4, 19)",black,0,32,black
3,"[35, 37, 37, 83]","(182, 4, 19)",black,0,43,black
4,"[35, 37, 37, 84]","(180, 4, 19)",black,0,32,black
5,"[35, 37, 37, 83]","(181, 4, 19)",black,0,43,black
6,"[36, 37, 37, 84]","(181, 4, 19)",black,0,32,black
7,"[35, 37, 37, 82]","(180, 4, 19)",black,0,32,black
8,"[36, 37, 37, 84]","(181, 4, 19)",black,0,32,black
9,"[35, 37, 37, 84]","(181, 4, 19)",black,0,32,black
10,"[36, 37, 37, 84]","(181, 4, 19)",black,0,32,black
11,"[35, 37, 37, 84]","(181, 4, 19)",black,0,32,black
12,"[33, 35, 35, 79]","(184, 4, 19)",black,0,32,black
13,"[35, 37, 37, 84]","(183, 4, 19)",black,0,43,black
14,"[35, 37, 37, 84]","(181, 4, 19)",black,0,32,black
15,"[35, 37, 37, 84]","(181, 4, 19)",black,0,32,black
16,"[35, 37, 37, 84]","(181, 4, 19)",black,0,32,black
17,"[35, 37, 37, 84]","(182, 4, 19)",black,0,32,black
18,"[35, 37, 37, 84]","(181, 4, 19)",black,0,32,black
19,"[35, 37, 37, 83]","(182, 4, 19)",black,0,43,black
20,"[35, 37, 37, 84]","(182, 4, 19)",black,0,32,black
21,"[35, 37, 37, 84]","(184, 4, 19)",black,0,32,black
22,"[35, 37, 37, 83]","(184, 4, 19)",black,0,32,black
23,"[35, 37, 37, 84]","(182, 4, 19)",black,0,32,black
24,"[35, 37, 37, 84]","(185, 4, 19)",black,0,43,black
25,"[36, 37, 37, 84]","(181, 4, 19)",black,0,33,black
26,"[35, 37, 37, 84]","(184, 4, 19)",black,0,32,black
27,"[23, 25, 25, 56]","(184, 4, 19)",black,0,32,black
28,"[35, 37, 37, 84]","(180, 4, 19)",black,0,32,black
29,"[35, 37, 37, 84]","(184, 4, 19)",black,0,32,black
30,"[35, 37, 37, 84]","(184, 4, 19)",black,0,32,black
31,"[35, 37, 37, 84]","(184, 4, 19)",black,0,32,black
32,"[35, 37, 37, 84]","(182, 4, 19)",black,0,32,black
33,"[35, 37, 37, 84]","(184, 4, 19)",black,0,32,black
34,"[35, 37, 37, 84]","(184, 4, 19)",black,0,32,black
35,"[36, 37, 37, 84]","(184, 4, 19)",black,0,32,black
36,"[35, 37, 37, 84]","(183, 4, 19)",black,0,32,black
37,"[35, 37, 37, 84]","(182, 4, 19)",black,0,32,black
38,"[35, 37, 37, 84]","(182, 4, 19)",black,0,32,black
39,"[35, 37, 37, 84]","(182, 4, 19)",black,0,32,black
40,"[35, 37, 37, 84]","(183, 4, 19)",black,0,43,black
41,"[32, 34, 34, 77]","(182, 4, 19)",black,0,33,black
42,"[35, 37, 37, 84]","(182, 4, 19)",black,0,32,black
43,"[36, 37, 37, 84]","(184, 4, 19)",black,0,33,black
44,"[35, 37, 37, 84]","(181, 4, 19)",black,0,32,black
45,"[35, 37, 37, 84]","(184, 4, 19)",black,0,33,black
46,"[35, 37, 37, 84]","(184, 4, 19)",black,0,43,black
47,"[36, 37, 37, 84]","(182, 4, 19)",black,0,33,black
48,"[44, 46, 46, 104]","(184, 4, 19)",black,0,32,black
49,"[35, 37, 37, 84]","(184, 4, 19)",black,0,33,black
50,"[35, 37, 37, 84]","(184, 4, 19)",black,0,32,black
51,"[39, 40, 40, 91]","(181, 4, 19)",black,0,33,black
52,"[24, 25, 25, 56]","(186, 4, 19)",black,0,33,black
53,"[35, 37, 37, 84]","(182, 4, 19)",black,0,33,black
54,"[35, 37, 37, 84]","(184, 4, 19)",black,0,33,black
55,"[35, 37, 37, 84]","(182, 4, 19)",black,0,32,black
56,"[38, 39, 39, 89]","(184, 4, 19)",black,0,32,black
57,"[36, 37, 37, 84]","(185, 4, 19)",black,0,33,black
58,"[35, 36, 36, 81]","(183, 4, 19)",black,0,33,black
59,"[35, 37, 37, 84]","(182, 4, 19)",black,0,33,black
60,"[27, 29, 29, 65]","(185, 4, 19)",black,0,33,black
61,"[23, 25, 25, 56]","(181, 4, 19)",black,0,32,black
62,"[35, 37, 37, 84]","(181, 4, 19)",black,0,33,black
63,"[36, 37, 37, 84]","(183, 4, 19)",black,0,44,black
64,"[35, 37, 37, 84]","(185, 4, 19)",black,0,33,black
65,"[35, 37, 37, 84]","(184, 4, 19)",black,0,33,black
66,"[28, 29, 29, 66]","(184, 4, 19)",black,0,33,black
67,"[23, 25, 25, 56]","(185, 4, 19)",black,0,33,black
68,"[35, 37, 37, 84]","(181, 4, 19)",black,0,43,black
69,"[35, 37, 37, 84]","(182, 4, 19)",black,0,33,black
70,"[35, 37, 37, 84]","(184, 4, 19)",black,0,43,black
71,"[35, 37, 37, 84]","(184, 4, 19)",black,0,32,black
72,"[35, 37, 37, 83]","(182, 4, 19)",black,0,33,black
73,"[35, 37, 37, 84]","(184, 4, 19)",black,0,33,black
74,"[35, 37, 37, 84]","(184, 4, 19)",black,0,33,black
75,"[35, 37, 37, 84]","(183, 4, 19)",black,0,33,black
76,"[36, 37, 37, 84]","(183, 4, 19)",black,0,33,black
77,"[28, 29, 29, 66]","(184, 4, 19)",black,0,33,black
78,"[23, 25, 25, 56]","(184, 4, 19)",black,0,33,black
79,"[36, 37, 37, 84]","(181, 4, 19)",black,0,33,black
80,"[36, 37, 37, 84]","(185, 4, 19)",black,0,33,black
81,"[35, 37, 37, 84]","(184, 4, 19)",black,0,32,black
82,"[36, 37, 37, 84]","(185, 4, 19)",black,0,33,black
83,"[35, 37, 37, 84]","(182, 4, 19)",black,0,33,black
84,"[35, 37, 37, 84]","(183, 4, 19)",black,0,32,black
85,"[35, 37, 37, 84]","(184, 4, 19)",black,0,33,black
86,"[36, 37, 37, 84]","(183, 4, 19)",black,0,33,black
87,"[35, 37, 37, 84]","(184, 4, 19)",black,0,33,black
88,"[36, 37, 37, 84]","(182, 4, 19)",black,0,33,black
89,"[28, 29, 29, 66]","(184, 4, 19)",black,0,33,black
90,"[35, 37, 37, 84]","(184, 4, 19)",black,0,32,black
91,"[35, 37, 37, 84]","(183, 4, 19)",black,0,33,black
92,"[35, 37, 37, 84]","(185, 4, 19)",black,0,32,black
93,"[35, 37, 37, 84]","(182, 4, 19)",black,0,32,black
94,"[35, 37, 37, 84]","(184, 4, 19)",black,0,33,black
95,"[23, 25, 25, 56]","(182, 4, 19)",black,0,33,black
96,"[35, 37, 37, 84]","(184, 4, 19)",black,0,33,black
97,"[34, 35, 35, 80]","(182, 4, 19)",black,0,43,black
98,"[35, 37, 37, 84]","(182, 4, 19)",black,0,43,black
99,"[35, 37, 37, 84]","(181, 4, 19)",black,0,33,black
100,"[30, 31, 31, 70]","(184, 4, 19)",black,0,33,black
101,"[23, 25, 25, 56]","(184, 4, 19)",black,0,33,black
102,"[37, 38, 38, 87]","(183, 4, 19)",black,0,33,black
103,"[35, 37, 37, 84]","(183, 4, 19)",black,0,33,black
104,"[24, 25, 25, 56]","(184, 4, 19)",black,0,33,black
105,"[23, 25, 25, 56]","(184, 4, 19)",black,0,33,black
106,"[35, 37, 37, 84]","(183, 4, 19)",black,0,33,black
107,"[36, 37, 37, 84]","(184, 4, 19)",black,0,33,black
108,"[25, 26, 26, 60]","(184, 4, 19)",black,0,33,black
109,"[36, 37, 37, 84]","(182, 4, 19)",black,0,33,black
110,"[35, 37, 37, 84]","(181, 4, 19)",black,0,33,black
111,"[36, 37, 37, 84]","(182, 4, 19)",black,0,33,black
112,"[25, 26, 26, 59]","(182, 4, 19)",black,0,33,black
113,"[36, 37, 37, 84]","(182, 4, 19)",black,0,33,black
114,"[36, 37, 37, 84]","(182, 4, 19)",black,0,33,black
115,"[23, 25, 25, 56]","(185, 4, 19)",black,0,33,black
116,"[35, 37, 37, 83]","(182, 4, 19)",black,0,33,black
117,"[35, 37, 37, 84]","(181, 4, 19)",black,0,33,black
118,"[35, 37, 37, 84]","(184, 4, 19)",black,0,33,black
119,"[35, 37, 37, 84]","(181, 4, 19)",black,0,44,black
