,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[8, 13, 21, 30]","(214, 59, 11)",black,0,16,blue
1,"[8, 13, 21, 30]","(214, 59, 11)",black,1,17,blue
2,"[8, 13, 22, 30]","(215, 59, 11)",black,0,18,blue
3,"[8, 13, 22, 30]","(215, 59, 11)",black,0,18,blue
4,"[8, 14, 21, 30]","(214, 59, 11)",black,1,17,blue
5,"[8, 13, 21, 30]","(214, 59, 11)",black,0,17,blue
6,"[6, 10, 16, 22]","(214, 59, 11)",black,1,17,blue
7,"[8, 13, 22, 30]","(215, 60, 11)",black,1,15,blue
8,"[8, 13, 21, 30]","(215, 59, 11)",black,1,16,blue
9,"[8, 13, 21, 30]","(214, 59, 11)",black,1,15,blue
10,"[8, 14, 21, 30]","(215, 59, 11)",black,0,14,blue
11,"[8, 14, 21, 30]","(214, 59, 11)",black,0,11,blue
12,"[8, 13, 21, 30]","(214, 59, 11)",black,0,13,blue
13,"[8, 13, 21, 30]","(215, 59, 11)",black,0,13,blue
14,"[8, 13, 21, 30]","(215, 59, 11)",black,0,13,blue
15,"[8, 13, 21, 30]","(214, 59, 11)",black,0,13,blue
16,"[8, 13, 21, 30]","(215, 59, 11)",black,0,13,blue
17,"[8, 14, 21, 30]","(214, 59, 11)",black,0,11,blue
18,"[8, 14, 21, 30]","(214, 59, 11)",black,0,14,blue
19,"[6, 11, 18, 24]","(214, 59, 11)",black,0,15,blue
20,"[8, 13, 22, 30]","(215, 59, 11)",black,0,12,blue
21,"[8, 13, 21, 30]","(215, 59, 11)",black,0,14,blue
22,"[8, 13, 22, 30]","(214, 59, 11)",black,0,11,blue
23,"[8, 13, 21, 30]","(214, 59, 11)",black,0,15,blue
24,"[8, 13, 21, 30]","(214, 59, 11)",black,0,14,blue
25,"[8, 14, 21, 30]","(215, 59, 11)",black,0,14,blue
26,"[8, 13, 22, 30]","(215, 59, 11)",black,0,14,blue
27,"[8, 13, 22, 30]","(215, 59, 11)",black,0,14,blue
28,"[8, 13, 22, 30]","(215, 59, 11)",black,0,11,blue
29,"[5, 9, 14, 20]","(214, 59, 11)",black,0,14,blue
30,"[8, 13, 22, 30]","(215, 59, 11)",black,0,15,blue
31,"[8, 13, 21, 30]","(214, 59, 11)",black,0,14,blue
32,"[8, 13, 22, 30]","(215, 59, 11)",black,0,15,blue
33,"[8, 13, 21, 30]","(214, 59, 11)",black,0,13,blue
34,"[8, 14, 21, 30]","(213, 59, 11)",black,0,12,blue
35,"[9, 15, 25, 34]","(215, 59, 11)",black,0,12,blue
36,"[8, 13, 22, 30]","(215, 59, 11)",black,0,12,blue
37,"[8, 13, 22, 30]","(215, 59, 11)",black,0,12,blue
38,"[6, 11, 18, 24]","(215, 59, 11)",black,0,12,blue
39,"[8, 13, 22, 30]","(214, 59, 11)",black,0,12,blue
40,"[8, 13, 21, 30]","(214, 59, 11)",black,0,12,blue
41,"[8, 14, 21, 30]","(214, 59, 11)",black,0,12,blue
42,"[5, 9, 15, 21]","(213, 59, 11)",black,0,12,blue
43,"[8, 13, 22, 30]","(215, 59, 11)",black,0,13,blue
44,"[8, 13, 22, 30]","(215, 59, 11)",black,0,15,blue
45,"[7, 12, 18, 26]","(214, 59, 11)",black,0,13,blue
46,"[8, 13, 21, 30]","(214, 59, 11)",black,0,12,blue
47,"[2, 4, 7, 10]","(215, 59, 11)",black,0,12,blue
48,"[8, 13, 22, 30]","(215, 59, 11)",black,0,12,blue
49,"[8, 13, 21, 30]","(215, 59, 11)",black,0,12,blue
50,"[8, 13, 22, 30]","(215, 59, 11)",black,0,11,blue
51,"[8, 13, 21, 30]","(214, 59, 11)",black,0,12,blue
52,"[8, 13, 21, 30]","(215, 59, 11)",black,0,13,blue
53,"[8, 14, 21, 30]","(214, 59, 11)",black,0,12,blue
54,"[8, 13, 21, 30]","(214, 59, 11)",black,0,12,blue
55,"[8, 13, 21, 30]","(214, 59, 11)",black,0,15,blue
56,"[5, 9, 14, 20]","(215, 59, 11)",black,0,12,blue
57,"[8, 13, 21, 30]","(215, 59, 11)",black,0,12,blue
58,"[8, 13, 22, 30]","(215, 59, 11)",black,0,12,blue
59,"[5, 9, 14, 20]","(215, 59, 11)",black,0,11,blue
