,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[3, 4, 5, 9]","(217, 48, 2)",black,0,2,blue
1,"[2, 3, 4, 6]","(215, 48, 2)",black,0,2,blue
2,"[2, 3, 4, 6]","(216, 47, 2)",black,0,2,blue
3,"[1, 2, 3, 4]","(215, 46, 2)",black,0,2,blue
4,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
5,"[1, 2, 3, 4]","(215, 46, 2)",black,0,2,blue
6,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
7,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
8,"[2, 2, 4, 6]","(215, 46, 2)",black,0,2,blue
9,"[1, 2, 3, 4]","(214, 47, 2)",black,0,2,blue
10,"[1, 2, 3, 5]","(215, 46, 2)",black,0,2,blue
11,"[2, 3, 4, 6]","(215, 46, 2)",black,0,3,blue
12,"[2, 3, 5, 7]","(215, 46, 2)",black,0,2,blue
13,"[2, 3, 4, 6]","(215, 46, 2)",black,0,3,blue
14,"[2, 3, 4, 6]","(215, 46, 2)",black,0,3,blue
15,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
16,"[1, 2, 3, 4]","(215, 46, 2)",black,0,3,blue
17,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
18,"[2, 3, 4, 6]","(215, 46, 2)",black,0,3,blue
19,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
20,"[2, 3, 4, 6]","(216, 46, 2)",black,0,2,blue
21,"[2, 3, 4, 6]","(215, 46, 2)",black,0,3,blue
22,"[1, 2, 3, 5]","(215, 46, 2)",black,0,2,blue
23,"[2, 3, 4, 6]","(215, 46, 2)",black,0,3,blue
24,"[1, 2, 3, 4]","(215, 46, 2)",black,0,3,blue
25,"[2, 3, 4, 6]","(215, 46, 2)",black,0,3,blue
26,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
27,"[2, 3, 4, 6]","(215, 46, 2)",black,0,3,blue
28,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
29,"[2, 3, 4, 6]","(215, 46, 2)",black,0,3,blue
30,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
31,"[2, 3, 4, 6]","(215, 46, 2)",black,0,3,blue
32,"[2, 3, 4, 6]","(215, 46, 2)",black,0,3,blue
33,"[2, 3, 4, 6]","(215, 46, 2)",black,0,3,blue
34,"[2, 3, 4, 6]","(215, 46, 2)",black,0,3,blue
35,"[2, 3, 4, 7]","(215, 46, 2)",black,0,3,blue
36,"[2, 3, 4, 6]","(215, 46, 2)",black,0,3,blue
37,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
38,"[1, 2, 3, 4]","(215, 46, 2)",black,0,2,blue
39,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
40,"[2, 3, 5, 7]","(215, 46, 2)",black,0,2,blue
41,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
42,"[1, 2, 3, 4]","(215, 46, 2)",black,0,2,blue
43,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
44,"[2, 2, 4, 6]","(215, 46, 2)",black,0,2,blue
45,"[2, 3, 5, 8]","(215, 46, 2)",black,0,2,blue
46,"[2, 3, 5, 7]","(215, 46, 2)",black,0,2,blue
47,"[2, 2, 4, 6]","(215, 46, 2)",black,0,2,blue
48,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
49,"[2, 3, 4, 6]","(216, 46, 2)",black,0,2,blue
50,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
51,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
52,"[1, 2, 3, 4]","(215, 46, 2)",black,0,3,blue
53,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
54,"[2, 3, 4, 6]","(216, 46, 2)",black,0,2,blue
55,"[2, 3, 4, 6]","(215, 46, 2)",black,0,3,blue
56,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
57,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
58,"[2, 3, 4, 7]","(215, 46, 2)",black,0,3,blue
59,"[2, 3, 4, 6]","(216, 46, 2)",black,0,2,blue
60,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
61,"[2, 3, 4, 6]","(216, 46, 2)",black,0,3,blue
62,"[2, 2, 4, 6]","(215, 46, 2)",black,0,2,blue
63,"[1, 2, 3, 5]","(215, 46, 2)",black,0,2,blue
64,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
65,"[2, 3, 4, 6]","(215, 46, 2)",black,0,3,blue
66,"[2, 2, 4, 6]","(215, 46, 2)",black,0,2,blue
67,"[2, 3, 4, 6]","(216, 46, 2)",black,0,2,blue
68,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
69,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
70,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
71,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
72,"[2, 3, 4, 6]","(215, 46, 2)",black,0,3,blue
73,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
74,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
75,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
76,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
77,"[2, 3, 4, 6]","(215, 46, 2)",black,0,3,blue
78,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
79,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
80,"[1, 2, 3, 5]","(215, 46, 2)",black,0,2,blue
81,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
82,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
83,"[1, 2, 3, 5]","(215, 46, 2)",black,0,2,blue
84,"[2, 3, 4, 6]","(215, 46, 2)",black,0,3,blue
85,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
86,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
87,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
88,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
89,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
90,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
91,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
92,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
93,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
94,"[1, 2, 3, 4]","(215, 46, 2)",black,0,2,blue
95,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
96,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
97,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
98,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
99,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
100,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
101,"[2, 2, 4, 6]","(215, 46, 2)",black,0,2,blue
102,"[2, 3, 4, 6]","(216, 45, 2)",black,0,2,blue
103,"[1, 2, 3, 4]","(215, 46, 2)",black,0,2,blue
104,"[2, 3, 4, 6]","(216, 46, 2)",black,0,3,blue
105,"[2, 3, 4, 6]","(215, 46, 2)",black,0,3,blue
106,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
107,"[1, 2, 3, 5]","(215, 46, 2)",black,0,2,blue
108,"[2, 3, 4, 6]","(215, 46, 2)",black,0,3,blue
109,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
110,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
111,"[1, 2, 3, 4]","(215, 46, 2)",black,0,2,blue
112,"[2, 3, 5, 8]","(217, 46, 2)",black,0,2,blue
113,"[1, 2, 3, 5]","(215, 46, 2)",black,0,2,blue
114,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
115,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
116,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
117,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
118,"[1, 2, 3, 4]","(215, 46, 2)",black,0,2,blue
119,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
120,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
121,"[2, 3, 4, 6]","(215, 46, 2)",black,0,3,blue
122,"[2, 3, 4, 6]","(216, 46, 2)",black,0,2,blue
123,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
124,"[1, 2, 3, 4]","(222, 46, 2)",black,0,2,blue
125,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
126,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
127,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
128,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
129,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
130,"[1, 2, 3, 4]","(215, 46, 2)",black,0,2,blue
131,"[2, 2, 4, 6]","(215, 46, 2)",black,0,2,blue
132,"[1, 2, 3, 4]","(215, 46, 2)",black,0,2,blue
133,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
134,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
135,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
136,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
137,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
138,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
139,"[1, 2, 3, 5]","(215, 46, 2)",black,0,2,blue
140,"[1, 2, 3, 5]","(215, 46, 2)",black,0,2,blue
141,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
142,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
143,"[2, 3, 4, 6]","(213, 48, 2)",black,0,2,blue
144,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
145,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
146,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
147,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
148,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
149,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
150,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
151,"[2, 3, 4, 6]","(215, 46, 2)",black,0,3,blue
152,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
153,"[1, 2, 3, 4]","(215, 46, 2)",black,0,2,blue
154,"[1, 2, 3, 5]","(215, 46, 2)",black,0,3,blue
155,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
156,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
157,"[2, 3, 4, 6]","(215, 46, 2)",black,0,3,blue
158,"[2, 2, 4, 6]","(215, 46, 2)",black,0,2,blue
159,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
160,"[2, 3, 4, 6]","(217, 46, 2)",black,0,2,blue
161,"[1, 2, 3, 4]","(215, 46, 2)",black,0,2,blue
162,"[2, 2, 4, 6]","(217, 46, 2)",black,0,2,blue
163,"[1, 2, 3, 4]","(215, 46, 2)",black,0,2,blue
164,"[2, 3, 4, 6]","(215, 46, 2)",black,0,3,blue
165,"[2, 3, 4, 6]","(216, 46, 2)",black,0,2,blue
166,"[1, 2, 3, 5]","(215, 46, 2)",black,0,2,blue
167,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
168,"[2, 2, 4, 6]","(215, 46, 2)",black,0,2,blue
169,"[2, 3, 4, 6]","(217, 46, 2)",black,0,3,blue
170,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
171,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
172,"[2, 3, 4, 6]","(216, 45, 2)",black,0,2,blue
173,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
174,"[2, 3, 4, 6]","(217, 45, 2)",black,0,2,blue
175,"[2, 2, 4, 6]","(215, 46, 2)",black,0,3,blue
176,"[1, 2, 3, 4]","(215, 46, 2)",black,0,2,blue
177,"[2, 3, 4, 6]","(216, 45, 2)",black,0,3,blue
178,"[1, 2, 3, 4]","(217, 46, 2)",black,0,3,blue
179,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
180,"[2, 3, 4, 6]","(217, 46, 2)",black,0,2,blue
181,"[1, 2, 3, 5]","(215, 46, 2)",black,0,2,blue
182,"[1, 2, 3, 4]","(215, 46, 2)",black,0,3,blue
183,"[2, 3, 4, 6]","(217, 46, 2)",black,0,3,blue
184,"[2, 2, 4, 6]","(217, 46, 2)",black,0,2,blue
185,"[2, 3, 4, 6]","(216, 45, 2)",black,0,2,blue
186,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
187,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
188,"[1, 2, 3, 4]","(215, 46, 2)",black,0,2,blue
189,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
190,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
191,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
192,"[2, 3, 4, 7]","(215, 46, 2)",black,0,2,blue
193,"[2, 3, 4, 7]","(215, 46, 2)",black,0,2,blue
194,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
195,"[1, 2, 3, 4]","(215, 46, 2)",black,0,2,blue
196,"[1, 2, 3, 4]","(215, 46, 2)",black,0,3,blue
197,"[1, 2, 3, 4]","(215, 46, 2)",black,0,2,blue
198,"[1, 2, 3, 4]","(215, 46, 2)",black,0,2,blue
199,"[1, 2, 3, 4]","(215, 46, 2)",black,0,2,blue
200,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
201,"[2, 3, 4, 6]","(218, 46, 2)",black,0,2,blue
202,"[2, 3, 4, 6]","(215, 46, 2)",black,0,3,blue
203,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
204,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
205,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
206,"[1, 2, 3, 4]","(215, 46, 2)",black,0,3,blue
207,"[2, 3, 4, 6]","(216, 45, 2)",black,0,2,blue
208,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
209,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
210,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
211,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
212,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
213,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
214,"[2, 3, 4, 6]","(215, 46, 2)",black,0,2,blue
