,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[29, 52, 83, 110]","(214, 62, 41)",green,0,44,blue
1,"[29, 51, 81, 108]","(214, 62, 41)",green,0,44,blue
2,"[29, 51, 81, 108]","(215, 62, 41)",green,0,44,blue
3,"[29, 51, 81, 108]","(215, 62, 41)",green,0,56,blue
4,"[29, 51, 81, 108]","(215, 62, 41)",green,0,44,blue
5,"[29, 51, 81, 108]","(214, 62, 41)",green,0,44,blue
6,"[29, 51, 81, 108]","(214, 62, 41)",green,0,45,blue
7,"[29, 51, 81, 108]","(215, 62, 41)",green,0,44,blue
8,"[29, 51, 81, 108]","(215, 62, 41)",green,0,45,blue
9,"[35, 61, 97, 129]","(214, 62, 41)",green,0,44,blue
10,"[29, 51, 81, 108]","(214, 62, 41)",green,0,44,blue
11,"[29, 51, 81, 108]","(214, 62, 41)",green,0,44,blue
12,"[29, 51, 81, 108]","(215, 62, 41)",green,0,56,blue
13,"[29, 51, 81, 108]","(214, 62, 41)",green,0,44,blue
14,"[29, 51, 81, 108]","(215, 62, 41)",green,0,44,blue
15,"[29, 51, 81, 108]","(214, 62, 41)",green,0,44,blue
16,"[29, 51, 81, 108]","(215, 62, 41)",green,0,44,blue
17,"[29, 51, 81, 108]","(215, 62, 41)",green,0,45,blue
18,"[24, 42, 68, 90]","(215, 62, 41)",green,0,56,blue
19,"[29, 51, 81, 108]","(214, 62, 41)",green,0,44,blue
20,"[27, 48, 77, 102]","(214, 62, 41)",green,0,44,blue
21,"[29, 51, 81, 108]","(215, 62, 41)",green,0,44,blue
22,"[29, 51, 81, 108]","(214, 62, 41)",green,0,44,blue
23,"[29, 51, 81, 108]","(215, 62, 41)",green,0,44,blue
24,"[29, 51, 81, 108]","(215, 62, 41)",green,0,44,blue
25,"[29, 51, 81, 108]","(215, 62, 41)",green,0,44,blue
26,"[29, 50, 81, 108]","(215, 62, 41)",green,0,44,blue
27,"[29, 51, 81, 108]","(215, 62, 41)",green,0,44,blue
28,"[29, 51, 81, 108]","(215, 62, 41)",green,0,44,blue
29,"[19, 34, 54, 72]","(214, 62, 41)",green,0,54,blue
30,"[29, 51, 81, 108]","(214, 62, 41)",green,0,44,blue
31,"[29, 51, 81, 108]","(215, 62, 41)",green,0,44,blue
32,"[19, 34, 54, 72]","(215, 62, 41)",green,0,44,blue
33,"[29, 51, 81, 108]","(215, 62, 41)",green,0,44,blue
34,"[29, 51, 81, 108]","(215, 62, 41)",green,0,42,blue
35,"[30, 52, 84, 111]","(215, 62, 41)",green,0,44,blue
36,"[29, 51, 81, 108]","(214, 62, 41)",green,0,44,blue
37,"[29, 51, 81, 108]","(215, 62, 41)",green,0,44,blue
38,"[29, 51, 81, 108]","(215, 62, 41)",green,0,44,blue
39,"[29, 51, 81, 108]","(214, 62, 41)",green,0,44,blue
40,"[29, 51, 81, 108]","(215, 62, 41)",green,0,44,blue
41,"[29, 51, 81, 108]","(215, 62, 41)",green,0,44,blue
42,"[28, 50, 79, 106]","(214, 62, 41)",green,0,44,blue
43,"[29, 51, 81, 108]","(215, 62, 41)",green,0,42,blue
44,"[26, 46, 74, 98]","(214, 62, 41)",green,0,44,blue
45,"[29, 51, 81, 108]","(215, 62, 41)",green,0,56,blue
46,"[26, 46, 73, 98]","(214, 62, 41)",green,0,44,blue
47,"[29, 51, 81, 108]","(214, 62, 41)",green,0,56,blue
48,"[29, 51, 81, 108]","(214, 62, 41)",green,0,44,blue
49,"[29, 51, 81, 108]","(214, 62, 41)",green,0,44,blue
50,"[29, 51, 81, 108]","(215, 62, 41)",green,0,56,blue
51,"[29, 51, 81, 108]","(215, 62, 41)",green,0,44,blue
52,"[29, 52, 83, 110]","(214, 62, 41)",green,0,45,blue
53,"[29, 51, 81, 108]","(214, 62, 41)",green,0,44,blue
54,"[21, 37, 59, 78]","(213, 62, 41)",green,0,44,blue
55,"[29, 51, 81, 108]","(215, 62, 41)",green,0,44,blue
56,"[20, 35, 55, 74]","(215, 62, 41)",green,0,44,blue
57,"[29, 51, 81, 108]","(215, 62, 41)",green,0,42,blue
58,"[32, 56, 90, 119]","(214, 62, 41)",green,0,44,blue
59,"[29, 51, 81, 108]","(215, 62, 41)",green,0,44,blue
