,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[72, 149, 248, 254]","(212, 69, 94)",cyan,0,74,blue
1,"[54, 111, 186, 190]","(212, 69, 95)",cyan,0,74,blue
2,"[54, 112, 187, 190]","(212, 69, 95)",cyan,0,74,blue
3,"[41, 85, 142, 145]","(212, 69, 95)",cyan,0,74,blue
4,"[47, 98, 165, 168]","(212, 69, 95)",cyan,0,74,blue
5,"[53, 111, 186, 190]","(212, 69, 95)",cyan,0,74,blue
6,"[54, 111, 187, 190]","(212, 69, 95)",cyan,0,74,blue
7,"[58, 120, 202, 206]","(212, 69, 95)",cyan,0,74,blue
8,"[54, 112, 187, 190]","(212, 69, 95)",cyan,0,74,blue
9,"[54, 112, 188, 190]","(212, 69, 95)",cyan,0,74,blue
10,"[54, 112, 188, 190]","(212, 69, 95)",cyan,0,98,blue
11,"[54, 112, 188, 190]","(213, 69, 96)",cyan,0,98,blue
12,"[36, 75, 126, 127]","(213, 69, 96)",cyan,0,74,blue
13,"[43, 91, 152, 155]","(213, 69, 96)",cyan,2,74,blue
14,"[54, 112, 188, 190]","(213, 69, 96)",cyan,0,98,blue
15,"[54, 112, 188, 190]","(212, 69, 96)",cyan,0,74,blue
16,"[50, 106, 177, 180]","(213, 69, 96)",cyan,0,74,blue
17,"[54, 113, 189, 190]","(212, 69, 96)",cyan,0,74,blue
18,"[36, 75, 126, 127]","(213, 69, 96)",cyan,1,74,blue
19,"[54, 112, 188, 190]","(213, 69, 96)",cyan,0,98,blue
20,"[54, 112, 189, 190]","(213, 69, 96)",cyan,0,74,blue
21,"[54, 112, 189, 190]","(213, 69, 96)",cyan,0,74,blue
22,"[54, 112, 189, 190]","(212, 69, 96)",cyan,0,74,blue
23,"[54, 112, 188, 190]","(212, 69, 96)",cyan,0,74,blue
24,"[47, 99, 167, 169]","(212, 69, 96)",cyan,0,74,blue
25,"[52, 110, 185, 187]","(212, 69, 96)",cyan,0,74,blue
26,"[54, 112, 189, 190]","(213, 69, 96)",cyan,1,74,blue
27,"[54, 112, 189, 190]","(213, 69, 96)",cyan,0,74,blue
28,"[54, 112, 189, 190]","(213, 69, 96)",cyan,0,74,blue
29,"[36, 75, 126, 127]","(213, 69, 96)",cyan,0,99,blue
30,"[54, 113, 189, 190]","(213, 69, 96)",cyan,0,98,blue
31,"[39, 82, 139, 140]","(212, 69, 96)",cyan,0,74,blue
32,"[54, 113, 189, 190]","(213, 69, 96)",cyan,0,74,blue
33,"[54, 113, 189, 190]","(213, 69, 96)",cyan,0,74,blue
34,"[54, 112, 189, 190]","(213, 69, 96)",cyan,0,74,blue
35,"[54, 112, 189, 190]","(213, 69, 96)",cyan,0,74,blue
36,"[54, 112, 189, 190]","(213, 69, 96)",cyan,0,74,blue
37,"[54, 112, 189, 190]","(212, 69, 96)",cyan,0,74,blue
38,"[54, 113, 189, 190]","(212, 69, 96)",cyan,0,74,blue
39,"[54, 113, 189, 190]","(213, 69, 96)",cyan,0,74,blue
40,"[54, 112, 189, 190]","(213, 69, 96)",cyan,0,74,blue
41,"[54, 112, 189, 190]","(213, 69, 96)",cyan,0,74,blue
42,"[36, 75, 126, 127]","(213, 69, 96)",cyan,0,74,blue
43,"[54, 113, 189, 190]","(213, 69, 96)",cyan,0,74,blue
44,"[36, 75, 126, 127]","(212, 69, 96)",cyan,0,74,blue
45,"[54, 112, 189, 190]","(213, 69, 96)",cyan,0,98,blue
46,"[36, 75, 126, 127]","(213, 69, 96)",cyan,0,99,blue
47,"[54, 112, 188, 190]","(212, 69, 96)",cyan,0,74,blue
48,"[54, 113, 189, 190]","(212, 69, 96)",cyan,0,74,blue
49,"[54, 112, 189, 190]","(213, 69, 96)",cyan,0,99,blue
50,"[54, 112, 189, 190]","(213, 69, 96)",cyan,0,74,blue
51,"[54, 113, 189, 190]","(213, 69, 96)",cyan,0,74,blue
52,"[54, 113, 189, 190]","(213, 69, 96)",cyan,0,74,blue
53,"[40, 83, 140, 141]","(212, 69, 96)",cyan,0,74,blue
54,"[54, 113, 189, 190]","(213, 69, 96)",cyan,0,74,blue
55,"[36, 75, 126, 127]","(213, 69, 96)",cyan,0,74,blue
56,"[51, 106, 178, 180]","(212, 69, 96)",cyan,0,74,blue
57,"[54, 112, 189, 190]","(213, 69, 96)",cyan,0,99,blue
58,"[54, 112, 189, 190]","(213, 69, 96)",cyan,0,99,blue
59,"[55, 115, 193, 195]","(213, 69, 96)",cyan,0,74,blue
