,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[8, 14, 11, 25]","(150, 39, 7)",black,0,17,green
1,"[10, 17, 14, 31]","(150, 39, 7)",black,0,9,green
2,"[8, 14, 12, 25]","(153, 38, 7)",black,1,13,green
3,"[5, 9, 7, 16]","(152, 40, 7)",black,1,17,green
4,"[8, 14, 12, 25]","(153, 38, 7)",black,1,17,green
5,"[8, 14, 12, 25]","(154, 39, 7)",black,1,17,green
6,"[8, 14, 11, 25]","(150, 39, 7)",black,1,17,green
7,"[8, 14, 11, 25]","(152, 38, 7)",black,1,9,green
8,"[8, 14, 12, 25]","(153, 38, 7)",black,0,17,green
9,"[7, 13, 11, 24]","(153, 38, 7)",black,1,17,green
10,"[7, 12, 10, 22]","(153, 38, 7)",black,1,17,green
11,"[8, 14, 11, 25]","(152, 39, 7)",black,0,17,green
12,"[8, 14, 12, 25]","(152, 38, 7)",black,0,16,green
13,"[7, 13, 11, 23]","(156, 37, 7)",black,0,18,green
14,"[8, 14, 12, 25]","(156, 38, 7)",black,0,17,green
