,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[29, 51, 42, 89]","(153, 41, 26)",green,0,46,green
1,"[29, 51, 42, 89]","(153, 41, 26)",green,0,36,green
2,"[29, 51, 42, 89]","(153, 41, 26)",green,0,36,green
3,"[29, 51, 42, 88]","(154, 41, 26)",green,0,36,green
4,"[19, 34, 28, 59]","(154, 41, 26)",green,0,36,green
5,"[29, 51, 42, 88]","(153, 41, 26)",green,0,36,green
6,"[29, 51, 42, 89]","(154, 41, 26)",green,0,36,green
7,"[29, 51, 42, 89]","(154, 41, 26)",green,0,37,green
8,"[21, 37, 31, 65]","(154, 41, 26)",green,0,37,green
9,"[19, 34, 28, 60]","(154, 41, 26)",green,0,37,green
10,"[29, 51, 42, 88]","(154, 41, 26)",green,0,42,green
11,"[29, 51, 42, 89]","(154, 41, 26)",green,0,37,green
12,"[29, 51, 42, 89]","(155, 41, 26)",green,0,37,green
13,"[29, 51, 42, 89]","(154, 41, 26)",green,0,43,green
14,"[29, 51, 42, 89]","(155, 41, 26)",green,0,46,green
15,"[29, 51, 42, 89]","(154, 41, 26)",green,0,37,green
16,"[29, 51, 42, 89]","(154, 41, 26)",green,0,46,green
17,"[29, 51, 42, 89]","(154, 41, 26)",green,0,36,green
18,"[29, 51, 42, 89]","(154, 41, 26)",green,0,46,green
19,"[29, 51, 42, 88]","(153, 41, 26)",green,0,36,green
20,"[29, 51, 42, 89]","(153, 41, 26)",green,0,36,green
21,"[29, 51, 42, 89]","(153, 41, 26)",green,0,46,green
22,"[29, 51, 42, 88]","(154, 41, 26)",green,0,44,green
23,"[19, 34, 28, 59]","(153, 41, 26)",green,0,36,green
24,"[19, 34, 28, 59]","(153, 41, 26)",green,0,46,green
25,"[29, 51, 42, 89]","(153, 41, 26)",green,0,36,green
26,"[29, 51, 42, 89]","(154, 41, 26)",green,0,44,green
27,"[23, 41, 34, 72]","(153, 41, 26)",green,0,36,green
28,"[25, 44, 36, 77]","(154, 41, 26)",green,0,46,green
29,"[19, 34, 28, 59]","(153, 41, 26)",green,0,44,green
30,"[21, 38, 31, 66]","(154, 41, 26)",green,0,46,green
31,"[29, 51, 42, 89]","(154, 41, 26)",green,0,36,green
32,"[29, 51, 42, 89]","(153, 41, 26)",green,0,44,green
33,"[29, 51, 42, 89]","(153, 41, 26)",green,0,36,green
34,"[29, 51, 42, 89]","(154, 41, 26)",green,0,36,green
35,"[29, 51, 42, 89]","(153, 41, 26)",green,0,36,green
36,"[29, 51, 42, 88]","(153, 41, 26)",green,0,36,green
37,"[29, 51, 42, 89]","(153, 41, 26)",green,0,36,green
38,"[29, 51, 42, 88]","(154, 41, 26)",green,0,46,green
39,"[29, 51, 42, 88]","(154, 41, 26)",green,0,36,green
40,"[29, 51, 42, 89]","(154, 41, 26)",green,0,34,green
41,"[29, 51, 42, 89]","(154, 41, 26)",green,0,46,green
42,"[29, 51, 42, 88]","(153, 41, 26)",green,0,34,green
43,"[29, 51, 42, 89]","(153, 41, 26)",green,0,36,green
44,"[29, 51, 42, 89]","(154, 41, 26)",green,0,36,green
45,"[29, 51, 42, 88]","(154, 41, 26)",green,0,34,green
46,"[29, 51, 42, 89]","(154, 41, 26)",green,0,36,green
47,"[29, 51, 42, 89]","(154, 41, 26)",green,0,34,green
48,"[29, 51, 42, 89]","(154, 41, 26)",green,0,36,green
49,"[29, 51, 42, 89]","(154, 41, 26)",green,0,36,green
50,"[29, 51, 42, 88]","(154, 41, 26)",green,0,36,green
51,"[29, 51, 42, 89]","(154, 41, 26)",green,0,36,green
52,"[29, 51, 42, 88]","(153, 41, 26)",green,0,46,green
53,"[29, 51, 42, 88]","(154, 41, 26)",green,0,36,green
54,"[29, 51, 42, 89]","(154, 41, 26)",green,0,36,green
55,"[29, 51, 42, 88]","(154, 41, 26)",green,0,36,green
56,"[29, 51, 42, 88]","(154, 41, 26)",green,0,36,green
57,"[29, 51, 42, 89]","(154, 41, 26)",green,0,36,green
58,"[29, 51, 42, 88]","(153, 41, 26)",green,0,36,green
59,"[28, 50, 41, 87]","(154, 41, 26)",green,0,37,green
