,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[65, 143, 109, 228]","(153, 52, 54)",green,0,66,green
1,"[27, 59, 45, 95]","(153, 52, 54)",green,0,66,green
2,"[48, 107, 81, 171]","(153, 52, 54)",green,0,67,green
3,"[32, 72, 55, 114]","(153, 52, 54)",green,0,67,green
4,"[49, 108, 82, 172]","(153, 52, 55)",green,0,67,green
5,"[49, 108, 83, 172]","(153, 52, 55)",green,0,67,green
6,"[49, 108, 82, 172]","(153, 52, 55)",green,0,67,green
7,"[49, 108, 82, 172]","(153, 52, 55)",green,0,90,green
8,"[49, 108, 82, 172]","(153, 52, 55)",green,0,67,green
9,"[49, 108, 83, 172]","(153, 52, 55)",green,0,89,green
10,"[49, 108, 83, 173]","(153, 52, 55)",green,0,90,green
11,"[46, 101, 77, 161]","(153, 52, 55)",green,0,67,green
12,"[39, 87, 67, 139]","(153, 52, 55)",green,0,67,green
13,"[49, 109, 83, 173]","(154, 52, 55)",green,0,67,green
14,"[50, 109, 83, 173]","(153, 52, 55)",green,0,68,green
15,"[49, 109, 83, 174]","(153, 52, 55)",green,0,68,green
16,"[50, 109, 84, 174]","(153, 52, 55)",green,0,91,green
17,"[39, 85, 65, 135]","(153, 52, 56)",green,0,68,green
18,"[50, 109, 84, 174]","(153, 52, 56)",green,0,68,green
19,"[50, 109, 84, 174]","(154, 52, 55)",green,0,68,green
20,"[50, 109, 84, 174]","(154, 52, 56)",green,0,90,green
21,"[50, 109, 84, 174]","(153, 52, 56)",green,0,91,green
22,"[50, 109, 84, 174]","(153, 52, 56)",green,0,68,green
23,"[50, 109, 84, 174]","(153, 52, 56)",green,0,68,green
24,"[50, 110, 84, 175]","(154, 52, 56)",green,0,68,green
25,"[31, 68, 52, 109]","(154, 52, 56)",green,0,91,green
26,"[50, 109, 84, 175]","(154, 52, 56)",green,0,91,green
27,"[33, 73, 56, 116]","(154, 52, 56)",green,0,68,green
28,"[38, 84, 65, 134]","(154, 52, 56)",green,0,68,green
29,"[50, 109, 84, 174]","(154, 52, 56)",green,0,91,green
30,"[17, 37, 29, 60]","(153, 52, 56)",green,0,68,green
31,"[50, 109, 84, 175]","(154, 52, 56)",green,0,68,green
32,"[57, 124, 96, 199]","(154, 52, 56)",green,0,68,green
33,"[46, 100, 77, 161]","(154, 52, 56)",green,0,68,green
34,"[50, 109, 84, 175]","(154, 52, 56)",green,0,68,green
35,"[50, 110, 84, 175]","(154, 52, 56)",green,0,68,green
36,"[33, 73, 56, 117]","(154, 52, 56)",green,0,68,green
37,"[33, 73, 56, 117]","(154, 52, 56)",green,0,68,green
38,"[50, 110, 84, 175]","(154, 52, 56)",green,0,68,green
39,"[37, 82, 63, 131]","(154, 52, 56)",green,0,68,green
40,"[50, 110, 84, 175]","(154, 52, 56)",green,0,68,green
41,"[50, 110, 84, 175]","(154, 52, 56)",green,0,68,green
42,"[50, 109, 84, 175]","(154, 52, 56)",green,0,68,green
43,"[50, 109, 84, 175]","(154, 52, 56)",green,0,91,green
44,"[50, 109, 84, 175]","(154, 52, 56)",green,0,68,green
45,"[50, 109, 84, 175]","(154, 52, 56)",green,0,68,green
46,"[43, 94, 72, 150]","(154, 52, 56)",green,0,68,green
47,"[50, 109, 84, 175]","(154, 52, 56)",green,0,68,green
48,"[50, 109, 84, 175]","(154, 52, 56)",green,0,91,green
49,"[50, 110, 85, 175]","(154, 52, 56)",green,0,68,green
