,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[13, 14, 14, 32]","(207, 5, 7)",black,2,12,grey_dark
1,"[13, 14, 15, 32]","(216, 6, 7)",black,1,21,grey_dark
2,"[13, 14, 15, 32]","(224, 6, 7)",black,2,21,grey_dark
3,"[13, 14, 14, 32]","(210, 5, 7)",black,1,20,grey_dark
4,"[13, 14, 15, 32]","(216, 6, 7)",black,1,21,grey_dark
5,"[13, 14, 15, 32]","(209, 5, 7)",black,2,21,grey_dark
6,"[9, 9, 9, 21]","(206, 4, 7)",black,1,21,grey_dark
7,"[13, 14, 14, 32]","(211, 4, 7)",black,1,20,grey_dark
8,"[13, 14, 14, 32]","(212, 4, 7)",black,1,20,grey_dark
9,"[13, 14, 15, 32]","(221, 6, 7)",black,1,21,grey_dark
10,"[13, 14, 14, 32]","(185, 4, 7)",black,2,22,grey_dark
11,"[13, 14, 14, 32]","(196, 5, 7)",black,1,22,grey_dark
12,"[13, 14, 15, 32]","(212, 6, 7)",black,2,12,grey_dark
13,"[13, 14, 15, 32]","(200, 6, 7)",black,1,20,grey_dark
14,"[13, 14, 15, 32]","(201, 6, 7)",black,1,12,grey_dark
15,"[13, 14, 14, 32]","(216, 5, 7)",black,1,21,grey_dark
16,"[13, 14, 14, 32]","(203, 6, 7)",black,1,20,grey_dark
17,"[13, 13, 14, 31]","(207, 7, 7)",black,1,20,grey_dark
18,"[13, 14, 15, 32]","(207, 7, 7)",black,1,12,grey_dark
19,"[13, 14, 15, 32]","(211, 7, 7)",black,0,20,grey_dark
20,"[13, 14, 14, 32]","(214, 6, 7)",black,0,19,grey_dark
21,"[13, 14, 14, 32]","(214, 6, 7)",black,1,19,grey_dark
22,"[13, 14, 15, 32]","(207, 8, 7)",black,1,19,grey_dark
23,"[13, 14, 15, 32]","(206, 7, 7)",black,1,19,grey_dark
24,"[16, 17, 18, 39]","(208, 7, 7)",black,1,20,grey_dark
25,"[13, 14, 15, 32]","(206, 7, 7)",black,1,20,grey_dark
26,"[13, 14, 15, 32]","(211, 8, 7)",black,1,20,grey_dark
27,"[13, 14, 14, 32]","(204, 6, 7)",black,0,20,grey_dark
28,"[13, 14, 15, 32]","(201, 6, 7)",black,1,12,grey_dark
29,"[13, 14, 15, 32]","(206, 6, 7)",black,1,20,grey_dark
