,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[5, 5, 5, 12]","(194, 6, 1)",black,4,23,grey_dark
1,"[3, 3, 3, 9]","(209, 4, 2)",black,4,21,grey_dark
2,"[3, 3, 3, 8]","(202, 7, 1)",black,3,20,grey_dark
3,"[3, 3, 3, 8]","(235, 11, 2)",black,3,19,grey_dark
4,"[3, 3, 3, 8]","(200, 6, 2)",black,2,19,grey_dark
5,"[3, 3, 3, 8]","(239, 14, 2)",black,3,3,grey_dark
6,"[3, 3, 3, 9]","(237, 11, 2)",black,4,3,grey_dark
7,"[3, 3, 3, 9]","(202, 7, 2)",black,4,3,grey_dark
8,"[3, 3, 3, 9]","(187, 5, 2)",black,5,29,grey_dark
9,"[2, 2, 2, 5]","(199, 8, 2)",black,5,3,grey_dark
10,"[3, 3, 3, 9]","(222, 10, 2)",black,5,28,grey_dark
11,"[3, 3, 3, 9]","(180, 3, 2)",black,5,28,grey_dark
12,"[3, 3, 3, 9]","(212, 9, 2)",black,4,23,grey_dark
13,"[3, 3, 3, 9]","(189, 8, 2)",black,4,23,grey_dark
14,"[3, 3, 3, 9]","(239, 5, 2)",black,4,24,grey_dark
