,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[64, 67, 69, 148]","(201, 7, 26)",green,0,43,grey_dark
1,"[48, 50, 51, 111]","(202, 6, 26)",green,0,45,grey_dark
2,"[48, 51, 52, 112]","(200, 7, 26)",green,0,45,grey_dark
3,"[48, 50, 52, 111]","(202, 7, 26)",green,0,45,grey_dark
4,"[48, 50, 52, 112]","(201, 7, 26)",green,0,45,grey_dark
5,"[48, 50, 52, 112]","(201, 7, 26)",green,0,45,grey_dark
6,"[35, 37, 38, 82]","(201, 7, 26)",green,0,45,grey_dark
7,"[48, 50, 52, 112]","(202, 7, 26)",green,0,45,grey_dark
8,"[48, 50, 51, 111]","(201, 7, 26)",green,0,45,grey_dark
9,"[42, 44, 45, 97]","(201, 7, 26)",green,0,45,grey_dark
10,"[48, 50, 52, 111]","(201, 7, 26)",green,0,45,grey_dark
11,"[48, 50, 52, 112]","(202, 7, 26)",green,0,45,grey_dark
12,"[48, 50, 51, 111]","(202, 7, 26)",green,0,43,grey_dark
13,"[48, 50, 52, 112]","(201, 7, 26)",green,0,45,grey_dark
14,"[48, 50, 51, 112]","(201, 7, 26)",green,0,45,grey_dark
15,"[48, 50, 51, 111]","(202, 6, 26)",green,0,45,grey_dark
16,"[48, 50, 52, 112]","(202, 6, 26)",green,0,45,grey_dark
17,"[48, 50, 51, 112]","(203, 6, 26)",green,0,44,grey_dark
18,"[48, 51, 51, 112]","(202, 6, 26)",green,0,44,grey_dark
19,"[43, 45, 46, 100]","(201, 6, 26)",green,0,44,grey_dark
20,"[34, 36, 36, 79]","(199, 6, 26)",green,0,44,grey_dark
21,"[48, 50, 51, 111]","(201, 6, 26)",green,0,44,grey_dark
22,"[47, 49, 50, 109]","(201, 6, 26)",green,0,44,grey_dark
23,"[48, 50, 51, 111]","(201, 6, 26)",green,0,56,grey_dark
24,"[16, 17, 17, 37]","(201, 6, 26)",green,0,44,grey_dark
25,"[32, 34, 35, 76]","(203, 7, 26)",green,0,44,grey_dark
26,"[48, 50, 52, 112]","(200, 6, 26)",green,0,44,grey_dark
27,"[48, 50, 52, 111]","(203, 7, 26)",green,0,44,grey_dark
28,"[48, 50, 51, 111]","(202, 6, 26)",green,0,44,grey_dark
29,"[48, 51, 51, 111]","(201, 6, 26)",green,0,44,grey_dark
30,"[32, 33, 34, 74]","(202, 6, 26)",green,0,44,grey_dark
31,"[48, 50, 51, 111]","(203, 6, 26)",green,0,45,grey_dark
32,"[48, 50, 51, 111]","(203, 6, 26)",green,0,45,grey_dark
33,"[48, 50, 51, 111]","(201, 6, 26)",green,0,58,grey_dark
34,"[48, 51, 51, 111]","(200, 6, 26)",green,0,44,grey_dark
35,"[48, 50, 51, 111]","(201, 6, 26)",green,0,44,grey_dark
36,"[48, 50, 51, 111]","(198, 6, 26)",green,0,56,grey_dark
37,"[48, 50, 52, 111]","(202, 7, 26)",green,0,58,grey_dark
38,"[48, 50, 52, 111]","(203, 6, 26)",green,0,43,grey_dark
39,"[48, 50, 52, 112]","(201, 6, 26)",green,0,44,grey_dark
40,"[48, 50, 52, 111]","(203, 6, 26)",green,0,58,grey_dark
41,"[48, 50, 52, 111]","(204, 7, 26)",green,0,44,grey_dark
42,"[48, 50, 52, 111]","(204, 7, 26)",green,0,44,grey_dark
43,"[47, 49, 51, 110]","(203, 7, 26)",green,0,44,grey_dark
44,"[48, 50, 52, 111]","(203, 7, 26)",green,0,44,grey_dark
45,"[32, 33, 35, 74]","(203, 7, 26)",green,0,43,grey_dark
46,"[47, 50, 51, 110]","(201, 6, 26)",green,0,44,grey_dark
47,"[48, 51, 51, 112]","(199, 6, 26)",green,0,44,grey_dark
48,"[48, 50, 52, 112]","(201, 6, 26)",green,0,44,grey_dark
49,"[48, 50, 52, 111]","(203, 7, 26)",green,0,44,grey_dark
50,"[48, 50, 52, 111]","(203, 7, 26)",green,0,44,grey_dark
51,"[48, 50, 52, 111]","(202, 7, 26)",green,0,44,grey_dark
52,"[32, 33, 35, 74]","(202, 7, 26)",green,0,44,grey_dark
53,"[48, 50, 52, 111]","(201, 7, 26)",green,0,57,grey_dark
54,"[48, 51, 52, 111]","(202, 7, 26)",green,0,43,grey_dark
55,"[32, 34, 35, 74]","(202, 7, 26)",green,0,58,grey_dark
56,"[32, 34, 35, 76]","(203, 7, 26)",green,0,58,grey_dark
57,"[48, 50, 52, 112]","(203, 7, 26)",green,0,58,grey_dark
58,"[48, 50, 52, 112]","(203, 7, 26)",green,0,43,grey_dark
59,"[48, 50, 52, 111]","(203, 7, 26)",green,0,43,grey_dark
