,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[99, 109, 112, 190]","(193, 11, 57)",cyan,0,74,grey_dark
1,"[99, 109, 112, 190]","(193, 11, 57)",cyan,0,74,grey_dark
2,"[99, 109, 112, 190]","(193, 11, 57)",cyan,0,99,grey_dark
3,"[99, 109, 112, 190]","(193, 11, 57)",cyan,0,74,grey_dark
4,"[99, 109, 112, 190]","(193, 11, 57)",cyan,0,74,grey_dark
5,"[99, 109, 112, 190]","(193, 11, 57)",cyan,0,74,grey_dark
6,"[99, 109, 112, 190]","(192, 11, 57)",cyan,0,74,grey_dark
7,"[79, 87, 89, 152]","(193, 11, 57)",cyan,0,74,grey_dark
8,"[99, 109, 112, 190]","(193, 11, 57)",cyan,0,74,grey_dark
9,"[99, 109, 112, 190]","(194, 11, 57)",cyan,0,74,grey_dark
10,"[66, 73, 75, 127]","(192, 11, 57)",cyan,0,74,grey_dark
11,"[99, 109, 112, 190]","(193, 11, 57)",cyan,0,74,grey_dark
12,"[99, 109, 112, 190]","(193, 11, 57)",cyan,0,99,grey_dark
13,"[99, 109, 112, 190]","(193, 11, 57)",cyan,0,74,grey_dark
14,"[99, 109, 112, 190]","(193, 11, 57)",cyan,0,74,grey_dark
15,"[99, 109, 112, 190]","(194, 11, 57)",cyan,0,74,grey_dark
16,"[99, 109, 112, 190]","(193, 11, 57)",cyan,0,74,grey_dark
17,"[99, 109, 112, 190]","(193, 11, 57)",cyan,0,74,grey_dark
18,"[99, 109, 112, 190]","(192, 11, 57)",cyan,0,74,grey_dark
19,"[99, 109, 112, 190]","(192, 11, 57)",cyan,0,74,grey_dark
20,"[99, 109, 112, 190]","(193, 11, 57)",cyan,0,74,grey_dark
21,"[99, 109, 112, 190]","(193, 11, 57)",cyan,0,74,grey_dark
22,"[99, 109, 112, 190]","(192, 11, 57)",cyan,0,74,grey_dark
23,"[83, 91, 94, 159]","(192, 10, 57)",cyan,0,74,grey_dark
24,"[99, 109, 112, 190]","(192, 11, 57)",cyan,0,74,grey_dark
25,"[99, 109, 112, 190]","(193, 11, 57)",cyan,0,99,grey_dark
26,"[99, 109, 112, 190]","(193, 11, 57)",cyan,0,74,grey_dark
27,"[78, 86, 88, 150]","(192, 11, 57)",cyan,0,74,grey_dark
28,"[99, 109, 112, 190]","(192, 11, 57)",cyan,0,74,grey_dark
29,"[99, 109, 112, 190]","(193, 11, 57)",cyan,0,74,grey_dark
30,"[99, 109, 112, 190]","(193, 11, 57)",cyan,0,74,grey_dark
31,"[99, 109, 112, 190]","(192, 11, 57)",cyan,1,74,grey_dark
32,"[84, 92, 95, 161]","(193, 11, 57)",cyan,0,74,grey_dark
33,"[99, 109, 112, 190]","(192, 11, 57)",cyan,0,74,grey_dark
34,"[99, 109, 112, 190]","(192, 11, 57)",cyan,0,74,grey_dark
35,"[67, 73, 75, 129]","(193, 11, 57)",cyan,0,99,grey_dark
36,"[99, 109, 112, 191]","(193, 11, 57)",cyan,0,74,grey_dark
37,"[99, 109, 112, 191]","(193, 11, 57)",cyan,0,74,grey_dark
38,"[99, 109, 112, 190]","(192, 11, 57)",cyan,0,74,grey_dark
39,"[99, 109, 112, 190]","(192, 11, 57)",cyan,0,74,grey_dark
40,"[99, 109, 112, 190]","(192, 11, 57)",cyan,0,74,grey_dark
41,"[99, 109, 112, 190]","(192, 11, 57)",cyan,0,74,grey_dark
42,"[99, 109, 112, 190]","(192, 11, 57)",cyan,0,74,grey_dark
43,"[67, 74, 77, 130]","(194, 11, 57)",cyan,0,74,grey_dark
44,"[99, 109, 112, 190]","(192, 11, 57)",cyan,0,74,grey_dark
