,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[29, 31, 32, 69]","(203, 8, 13)",black,1,38,grey_new
1,"[24, 26, 27, 57]","(203, 8, 13)",black,3,37,grey_new
2,"[16, 17, 18, 38]","(206, 8, 13)",black,2,30,grey_new
3,"[16, 17, 18, 38]","(202, 8, 13)",black,2,34,grey_new
4,"[24, 26, 27, 57]","(203, 7, 13)",black,2,33,grey_new
5,"[24, 26, 27, 57]","(203, 7, 13)",black,1,33,grey_new
6,"[24, 26, 27, 57]","(202, 7, 13)",black,1,33,grey_new
7,"[20, 22, 22, 48]","(203, 8, 13)",black,1,33,grey_new
8,"[24, 26, 27, 57]","(205, 8, 13)",black,2,30,grey_new
9,"[24, 26, 27, 57]","(202, 8, 13)",black,2,33,grey_new
10,"[24, 26, 27, 58]","(200, 9, 14)",black,2,34,grey_new
11,"[24, 26, 27, 57]","(203, 8, 14)",black,2,36,grey_new
12,"[24, 26, 27, 57]","(203, 8, 13)",black,3,38,grey_new
13,"[24, 26, 27, 57]","(200, 8, 13)",black,3,41,grey_new
14,"[21, 22, 23, 50]","(201, 8, 13)",black,4,43,grey_new
15,"[24, 26, 27, 57]","(202, 9, 14)",black,3,45,grey_new
16,"[24, 26, 27, 57]","(207, 9, 14)",black,5,47,grey_new
17,"[17, 18, 19, 40]","(205, 8, 14)",black,5,45,grey_new
18,"[16, 17, 18, 38]","(203, 8, 13)",black,4,48,grey_new
19,"[24, 26, 27, 58]","(206, 9, 14)",black,5,47,grey_new
20,"[24, 26, 27, 57]","(203, 8, 14)",black,4,44,grey_new
21,"[24, 26, 27, 58]","(206, 9, 14)",black,3,45,grey_new
22,"[16, 17, 18, 38]","(202, 9, 14)",black,5,44,grey_new
23,"[24, 26, 27, 58]","(209, 8, 14)",black,3,47,grey_new
24,"[24, 26, 27, 57]","(203, 9, 14)",black,5,46,grey_new
25,"[24, 26, 27, 57]","(201, 9, 14)",black,5,22,grey_new
26,"[24, 26, 27, 58]","(201, 8, 13)",black,8,-1,grey_new
27,"[24, 26, 27, 58]","(204, 9, 14)",black,8,-5,grey_new
28,"[24, 26, 27, 57]","(201, 9, 14)",black,8,-2,grey_new
29,"[22, 23, 24, 52]","(202, 9, 14)",black,8,-4,grey_new
30,"[24, 26, 27, 58]","(204, 8, 14)",black,7,30,grey_new
31,"[28, 30, 32, 68]","(199, 8, 13)",black,6,53,grey_new
32,"[24, 26, 27, 58]","(205, 9, 14)",black,6,30,grey_new
33,"[24, 26, 27, 57]","(203, 9, 14)",black,4,46,grey_new
34,"[24, 26, 27, 57]","(201, 8, 14)",black,4,22,grey_new
35,"[16, 17, 18, 38]","(199, 9, 14)",black,4,30,grey_new
36,"[24, 26, 27, 58]","(199, 8, 14)",black,4,42,grey_new
37,"[24, 26, 27, 58]","(204, 9, 14)",black,3,39,grey_new
38,"[24, 26, 27, 58]","(207, 8, 14)",black,3,38,grey_new
39,"[24, 26, 27, 58]","(202, 9, 14)",black,3,39,grey_new
40,"[24, 26, 27, 58]","(205, 9, 14)",black,3,37,grey_new
41,"[24, 26, 27, 58]","(201, 9, 14)",black,3,36,grey_new
42,"[24, 26, 27, 58]","(205, 9, 14)",black,2,34,grey_new
43,"[16, 17, 18, 38]","(206, 9, 14)",black,2,32,grey_new
44,"[24, 26, 27, 58]","(203, 9, 14)",black,2,22,grey_new
45,"[24, 26, 27, 58]","(201, 8, 14)",black,2,22,grey_new
46,"[24, 26, 27, 58]","(204, 9, 14)",black,2,30,grey_new
47,"[24, 26, 27, 58]","(206, 9, 14)",black,2,34,grey_new
48,"[24, 26, 27, 58]","(204, 9, 14)",black,2,38,grey_new
49,"[24, 26, 27, 58]","(204, 9, 14)",black,3,30,grey_new
50,"[24, 26, 27, 58]","(203, 8, 14)",black,4,43,grey_new
51,"[24, 26, 27, 58]","(203, 8, 14)",black,4,43,grey_new
52,"[24, 26, 27, 58]","(202, 9, 14)",black,3,42,grey_new
53,"[24, 26, 27, 58]","(203, 9, 14)",black,4,42,grey_new
54,"[24, 26, 27, 58]","(201, 9, 14)",black,4,41,grey_new
55,"[24, 26, 27, 58]","(202, 8, 14)",black,3,41,grey_new
56,"[24, 26, 27, 57]","(203, 9, 14)",black,4,40,grey_new
57,"[24, 26, 27, 58]","(203, 8, 14)",black,3,40,grey_new
58,"[24, 26, 27, 57]","(204, 9, 14)",black,4,40,grey_new
59,"[24, 26, 27, 58]","(206, 9, 14)",black,3,40,grey_new
