,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[6, 6, 6, 15]","(206, 9, 3)",black,3,23,grey_new
1,"[4, 4, 4, 10]","(206, 9, 3)",black,3,6,grey_new
2,"[6, 6, 6, 15]","(215, 6, 3)",black,3,6,grey_new
3,"[6, 6, 6, 15]","(187, 6, 3)",black,3,24,grey_new
4,"[6, 6, 6, 15]","(200, 5, 3)",black,4,24,grey_new
5,"[6, 6, 6, 15]","(212, 5, 3)",black,4,24,grey_new
6,"[7, 8, 8, 18]","(204, 10, 3)",black,4,23,grey_new
7,"[4, 4, 4, 10]","(215, 7, 3)",black,2,22,grey_new
8,"[6, 6, 6, 15]","(217, 7, 3)",black,3,21,grey_new
9,"[6, 6, 6, 15]","(180, 7, 3)",black,3,20,grey_new
10,"[6, 6, 6, 15]","(199, 7, 3)",black,2,21,grey_new
11,"[4, 4, 4, 10]","(217, 7, 3)",black,2,22,grey_new
12,"[6, 6, 6, 15]","(192, 11, 3)",black,3,23,grey_new
13,"[6, 6, 6, 15]","(207, 8, 3)",black,2,25,grey_new
14,"[6, 6, 6, 15]","(221, 8, 3)",black,4,25,grey_new
