,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[92, 99, 103, 190]","(199, 10, 52)",cyan,0,74,grey_new
1,"[91, 99, 103, 190]","(200, 10, 52)",cyan,0,74,grey_new
2,"[92, 99, 103, 190]","(200, 10, 52)",cyan,0,74,grey_new
3,"[92, 99, 103, 190]","(199, 10, 52)",cyan,0,74,grey_new
4,"[91, 99, 103, 190]","(200, 10, 52)",cyan,0,74,grey_new
5,"[92, 99, 103, 190]","(200, 10, 52)",cyan,0,74,grey_new
6,"[91, 99, 103, 190]","(200, 10, 52)",cyan,0,74,grey_new
7,"[92, 99, 103, 190]","(200, 10, 52)",cyan,0,74,grey_new
8,"[61, 66, 68, 127]","(199, 10, 52)",cyan,0,74,grey_new
9,"[91, 99, 103, 190]","(200, 10, 52)",cyan,0,74,grey_new
10,"[61, 66, 68, 127]","(200, 10, 52)",cyan,0,74,grey_new
11,"[91, 99, 102, 190]","(200, 10, 52)",cyan,0,74,grey_new
12,"[91, 99, 102, 190]","(200, 10, 52)",cyan,0,74,grey_new
13,"[64, 69, 72, 133]","(200, 10, 52)",cyan,0,74,grey_new
14,"[92, 99, 103, 190]","(200, 10, 52)",cyan,0,74,grey_new
15,"[91, 99, 103, 190]","(200, 10, 52)",cyan,0,99,grey_new
16,"[92, 99, 103, 190]","(200, 10, 52)",cyan,0,74,grey_new
17,"[91, 99, 102, 190]","(200, 10, 52)",cyan,0,99,grey_new
18,"[92, 99, 103, 190]","(200, 10, 52)",cyan,0,74,grey_new
19,"[92, 99, 103, 190]","(200, 10, 52)",cyan,0,74,grey_new
20,"[92, 99, 103, 190]","(201, 10, 52)",cyan,0,99,grey_new
21,"[91, 99, 103, 190]","(200, 10, 52)",cyan,0,74,grey_new
22,"[92, 99, 103, 190]","(200, 10, 52)",cyan,0,74,grey_new
23,"[91, 99, 102, 190]","(200, 10, 52)",cyan,0,74,grey_new
24,"[91, 99, 103, 190]","(200, 10, 52)",cyan,0,74,grey_new
25,"[91, 99, 103, 190]","(200, 10, 52)",cyan,0,74,grey_new
26,"[91, 99, 103, 190]","(200, 10, 52)",cyan,0,74,grey_new
27,"[91, 99, 102, 190]","(200, 10, 52)",cyan,0,74,grey_new
28,"[61, 66, 68, 127]","(200, 10, 52)",cyan,0,74,grey_new
29,"[61, 66, 68, 127]","(200, 10, 52)",cyan,0,74,grey_new
30,"[74, 80, 83, 155]","(200, 10, 52)",cyan,0,99,grey_new
31,"[80, 87, 90, 168]","(200, 10, 52)",cyan,0,99,grey_new
32,"[92, 99, 103, 190]","(200, 10, 52)",cyan,0,74,grey_new
33,"[91, 99, 102, 190]","(200, 10, 52)",cyan,2,74,grey_new
34,"[91, 99, 103, 190]","(200, 10, 52)",cyan,0,74,grey_new
35,"[91, 99, 102, 190]","(201, 10, 52)",cyan,0,74,grey_new
36,"[67, 72, 75, 139]","(199, 10, 52)",cyan,0,99,grey_new
37,"[91, 98, 102, 189]","(200, 10, 52)",cyan,1,74,grey_new
38,"[91, 99, 103, 190]","(200, 10, 52)",cyan,0,74,grey_new
39,"[91, 99, 103, 190]","(200, 10, 52)",cyan,0,74,grey_new
40,"[91, 99, 103, 190]","(200, 10, 52)",cyan,0,74,grey_new
41,"[91, 99, 103, 190]","(200, 10, 52)",cyan,0,99,grey_new
42,"[91, 99, 102, 190]","(200, 10, 52)",cyan,0,74,grey_new
43,"[91, 99, 102, 190]","(200, 10, 52)",cyan,0,74,grey_new
44,"[79, 86, 89, 166]","(200, 10, 52)",cyan,0,74,grey_new
45,"[85, 91, 95, 176]","(200, 10, 52)",cyan,0,74,grey_new
46,"[92, 99, 102, 190]","(200, 10, 52)",cyan,0,74,grey_new
47,"[61, 66, 68, 127]","(200, 10, 52)",cyan,0,74,grey_new
48,"[80, 86, 90, 166]","(199, 10, 52)",cyan,0,74,grey_new
49,"[91, 99, 102, 190]","(200, 10, 52)",cyan,0,74,grey_new
50,"[92, 99, 103, 190]","(200, 10, 52)",cyan,0,74,grey_new
51,"[92, 99, 103, 190]","(200, 10, 52)",cyan,0,74,grey_new
52,"[61, 66, 68, 127]","(200, 10, 52)",cyan,0,74,grey_new
53,"[65, 70, 73, 136]","(200, 10, 52)",cyan,0,99,grey_new
54,"[91, 99, 102, 190]","(200, 10, 52)",cyan,0,74,grey_new
55,"[91, 99, 103, 190]","(199, 10, 52)",cyan,0,74,grey_new
56,"[80, 86, 89, 166]","(200, 10, 52)",cyan,0,74,grey_new
57,"[91, 99, 103, 190]","(200, 10, 52)",cyan,0,74,grey_new
58,"[91, 99, 103, 190]","(200, 10, 52)",cyan,0,74,grey_new
59,"[94, 102, 106, 197]","(200, 10, 52)",cyan,0,74,grey_new
