,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[191, 191, 191, 191]","(0, 0, 97)",white,0,75,grey_new
1,"[191, 191, 191, 191]","(0, 0, 97)",white,0,75,grey_new
2,"[191, 191, 191, 191]","(0, 0, 97)",white,0,75,grey_new
3,"[191, 191, 191, 191]","(0, 0, 97)",white,1,75,grey_new
4,"[191, 191, 191, 191]","(0, 0, 97)",white,1,75,grey_new
5,"[191, 191, 191, 191]","(0, 0, 97)",white,2,75,grey_new
6,"[191, 191, 191, 191]","(0, 0, 97)",white,0,75,grey_new
7,"[191, 191, 191, 191]","(0, 0, 97)",white,0,75,grey_new
8,"[191, 191, 191, 191]","(0, 0, 97)",white,0,99,grey_new
9,"[162, 170, 172, 163]","(0, 0, 97)",white,0,75,grey_new
10,"[179, 190, 191, 180]","(0, 0, 97)",white,1,75,grey_new
11,"[191, 191, 191, 191]","(0, 0, 97)",white,1,75,grey_new
12,"[191, 191, 191, 191]","(0, 0, 97)",white,0,99,grey_new
13,"[191, 191, 191, 191]","(0, 0, 97)",white,1,100,grey_new
14,"[191, 191, 191, 191]","(0, 0, 97)",white,0,75,grey_new
15,"[127, 127, 127, 127]","(0, 0, 97)",white,0,75,grey_new
16,"[191, 191, 191, 191]","(0, 0, 97)",white,1,100,grey_new
17,"[191, 191, 191, 191]","(0, 0, 97)",white,1,75,grey_new
18,"[191, 191, 191, 191]","(0, 0, 97)",white,1,75,grey_new
19,"[164, 172, 173, 165]","(0, 0, 97)",white,0,100,grey_new
20,"[191, 191, 191, 191]","(0, 0, 97)",white,1,75,grey_new
21,"[191, 191, 191, 191]","(0, 0, 97)",white,0,75,grey_new
22,"[191, 191, 191, 191]","(0, 0, 97)",white,0,75,grey_new
23,"[127, 127, 127, 127]","(0, 0, 97)",white,0,99,grey_new
24,"[127, 127, 127, 127]","(0, 0, 97)",white,2,75,grey_new
25,"[191, 191, 191, 191]","(0, 0, 97)",white,0,75,grey_new
26,"[191, 191, 191, 191]","(0, 0, 97)",white,2,75,grey_new
27,"[191, 191, 191, 191]","(0, 0, 97)",white,1,75,grey_new
28,"[191, 191, 191, 191]","(0, 0, 97)",white,1,75,grey_new
29,"[191, 191, 191, 191]","(0, 0, 97)",white,2,75,grey_new
30,"[191, 191, 191, 191]","(0, 0, 97)",white,0,99,grey_new
31,"[190, 191, 191, 190]","(0, 0, 97)",white,0,75,grey_new
32,"[191, 191, 191, 191]","(0, 0, 97)",white,1,75,grey_new
33,"[127, 127, 127, 127]","(0, 0, 97)",white,2,75,grey_new
34,"[131, 132, 132, 132]","(0, 0, 97)",white,2,75,grey_new
35,"[191, 191, 191, 191]","(0, 0, 97)",white,1,75,grey_new
36,"[191, 191, 191, 191]","(0, 0, 97)",white,0,75,grey_new
37,"[191, 191, 191, 191]","(0, 0, 97)",white,0,75,grey_new
38,"[191, 191, 191, 191]","(0, 0, 97)",white,1,75,grey_new
39,"[191, 191, 191, 191]","(0, 0, 97)",white,1,75,grey_new
40,"[191, 191, 191, 191]","(0, 0, 97)",white,1,100,grey_new
41,"[191, 191, 191, 191]","(0, 0, 97)",white,0,75,grey_new
42,"[146, 150, 151, 147]","(0, 0, 97)",white,0,100,grey_new
43,"[191, 191, 191, 191]","(0, 0, 97)",white,0,75,grey_new
44,"[191, 191, 191, 191]","(0, 0, 97)",white,1,75,grey_new
45,"[191, 191, 191, 191]","(0, 0, 97)",white,1,75,grey_new
46,"[191, 191, 191, 191]","(0, 0, 97)",white,1,75,grey_new
47,"[191, 191, 191, 191]","(0, 0, 97)",white,2,100,grey_new
48,"[191, 191, 191, 191]","(0, 0, 97)",white,0,75,grey_new
49,"[191, 191, 191, 191]","(0, 0, 97)",white,1,100,grey_new
50,"[127, 127, 127, 127]","(0, 0, 97)",white,0,75,grey_new
51,"[191, 191, 191, 191]","(0, 0, 97)",white,1,100,grey_new
52,"[148, 152, 153, 149]","(0, 0, 97)",white,0,100,grey_new
