,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[16, 16, 16, 37]","(172, 3, 8)",black,6,14,grey_old
1,"[16, 16, 17, 37]","(201, 5, 8)",black,5,43,grey_old
2,"[15, 16, 17, 37]","(201, 5, 8)",black,6,41,grey_old
3,"[16, 16, 16, 37]","(198, 4, 8)",black,5,37,grey_old
4,"[16, 16, 17, 37]","(203, 4, 8)",black,7,-13,grey_old
5,"[16, 17, 16, 37]","(173, 3, 8)",black,6,41,grey_old
6,"[11, 11, 11, 25]","(201, 4, 8)",black,4,42,grey_old
7,"[15, 15, 16, 35]","(182, 4, 8)",black,7,-10,grey_old
8,"[16, 16, 16, 37]","(197, 3, 8)",black,6,-9,grey_old
9,"[16, 17, 16, 37]","(174, 4, 8)",black,8,-10,grey_old
10,"[15, 16, 17, 37]","(205, 4, 8)",black,6,-11,grey_old
11,"[16, 16, 16, 37]","(180, 3, 8)",black,8,-11,grey_old
12,"[16, 17, 16, 37]","(185, 4, 8)",black,6,-11,grey_old
13,"[16, 16, 16, 37]","(180, 3, 8)",black,8,-11,grey_old
14,"[15, 16, 16, 37]","(183, 4, 8)",black,8,-10,grey_old
15,"[16, 17, 17, 37]","(190, 4, 8)",black,8,19,grey_old
16,"[16, 16, 16, 37]","(176, 3, 8)",black,8,-11,grey_old
17,"[16, 16, 16, 37]","(199, 4, 8)",black,7,-14,grey_old
18,"[15, 16, 16, 37]","(187, 4, 8)",black,5,14,grey_old
19,"[16, 16, 16, 37]","(185, 3, 8)",black,5,-13,grey_old
20,"[16, 16, 16, 37]","(193, 3, 8)",black,6,45,grey_old
21,"[15, 17, 16, 37]","(169, 4, 8)",black,7,14,grey_old
22,"[16, 16, 16, 37]","(194, 3, 8)",black,6,-12,grey_old
23,"[16, 16, 16, 37]","(199, 3, 8)",black,5,42,grey_old
24,"[16, 16, 16, 37]","(198, 3, 8)",black,4,14,grey_old
25,"[16, 16, 16, 37]","(186, 5, 8)",black,5,42,grey_old
26,"[16, 16, 16, 37]","(204, 4, 8)",black,5,-17,grey_old
27,"[15, 16, 16, 37]","(202, 5, 8)",black,7,19,grey_old
28,"[15, 17, 17, 37]","(190, 5, 8)",black,7,-15,grey_old
29,"[16, 17, 17, 37]","(200, 5, 8)",black,7,-16,grey_old
30,"[15, 16, 16, 36]","(187, 4, 8)",black,5,14,grey_old
31,"[15, 17, 16, 37]","(170, 4, 8)",black,7,-17,grey_old
32,"[15, 16, 16, 37]","(173, 4, 8)",black,7,46,grey_old
33,"[16, 16, 16, 37]","(185, 3, 8)",black,5,46,grey_old
34,"[16, 16, 17, 37]","(184, 4, 8)",black,7,46,grey_old
35,"[15, 16, 16, 37]","(191, 4, 8)",black,7,45,grey_old
36,"[16, 16, 17, 37]","(196, 3, 8)",black,6,45,grey_old
37,"[16, 16, 16, 37]","(188, 3, 8)",black,4,14,grey_old
38,"[16, 16, 17, 37]","(202, 3, 8)",black,6,14,grey_old
39,"[16, 16, 17, 37]","(180, 3, 8)",black,6,44,grey_old
40,"[15, 17, 16, 37]","(181, 4, 8)",black,6,43,grey_old
41,"[16, 16, 16, 37]","(191, 4, 8)",black,6,43,grey_old
42,"[14, 15, 15, 34]","(196, 3, 8)",black,4,35,grey_old
43,"[15, 16, 17, 37]","(177, 4, 8)",black,5,41,grey_old
44,"[16, 16, 17, 37]","(189, 4, 8)",black,6,42,grey_old
45,"[16, 16, 16, 37]","(183, 3, 8)",black,4,36,grey_old
46,"[16, 16, 16, 37]","(202, 3, 8)",black,4,35,grey_old
47,"[16, 17, 17, 37]","(197, 5, 8)",black,5,43,grey_old
48,"[16, 16, 16, 37]","(199, 4, 8)",black,6,45,grey_old
49,"[16, 16, 16, 37]","(180, 4, 8)",black,6,14,grey_old
50,"[16, 16, 16, 37]","(212, 4, 8)",black,6,43,grey_old
51,"[16, 16, 17, 37]","(191, 4, 8)",black,6,43,grey_old
52,"[15, 16, 16, 37]","(185, 4, 8)",black,4,43,grey_old
53,"[10, 11, 11, 24]","(192, 3, 8)",black,6,41,grey_old
54,"[16, 16, 16, 37]","(180, 3, 8)",black,5,40,grey_old
55,"[15, 16, 17, 37]","(197, 5, 8)",black,4,19,grey_old
56,"[16, 16, 16, 37]","(198, 4, 8)",black,4,33,grey_old
57,"[16, 16, 16, 37]","(190, 3, 8)",black,3,40,grey_old
58,"[16, 16, 16, 37]","(198, 3, 8)",black,5,41,grey_old
59,"[16, 16, 16, 37]","(187, 3, 8)",black,6,14,grey_old
