,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[5, 5, 5, 12]","(19, 1, 3)",black,7,-22,grey_old
1,"[6, 6, 6, 14]","(167, 6, 3)",black,8,5,grey_old
2,"[6, 6, 6, 14]","(133, 4, 3)",black,8,-21,grey_old
3,"[6, 6, 6, 14]","(187, 5, 3)",black,8,5,grey_old
4,"[4, 4, 4, 9]","(202, 4, 3)",black,5,29,grey_old
5,"[4, 4, 4, 11]","(180, 3, 3)",black,7,-23,grey_old
6,"[4, 4, 4, 10]","(207, 5, 3)",black,6,35,grey_old
7,"[6, 6, 6, 14]","(154, 6, 3)",black,5,29,grey_old
8,"[6, 6, 6, 14]","(203, 7, 3)",black,5,29,grey_old
9,"[6, 6, 6, 13]","(189, 5, 3)",black,3,29,grey_old
10,"[6, 6, 6, 14]","(205, 6, 3)",black,5,35,grey_old
11,"[6, 6, 6, 14]","(142, 4, 3)",black,3,22,grey_old
12,"[4, 4, 4, 9]","(165, 3, 3)",black,3,34,grey_old
13,"[6, 6, 6, 14]","(202, 5, 3)",black,6,5,grey_old
14,"[4, 4, 4, 9]","(197, 7, 3)",black,6,32,grey_old
