,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[121, 127, 127, 237]","(179, 4, 48)",cyan,2,84,grey_old
1,"[90, 95, 95, 184]","(177, 4, 48)",cyan,1,79,grey_old
2,"[60, 63, 63, 119]","(181, 5, 48)",cyan,2,84,grey_old
3,"[90, 95, 95, 182]","(180, 4, 48)",cyan,2,81,grey_old
4,"[91, 96, 96, 179]","(181, 5, 48)",cyan,2,83,grey_old
5,"[90, 96, 96, 180]","(185, 5, 49)",cyan,2,83,grey_old
6,"[90, 95, 95, 179]","(184, 5, 49)",cyan,2,83,grey_old
7,"[81, 86, 86, 162]","(186, 5, 49)",cyan,2,83,grey_old
8,"[60, 64, 64, 122]","(185, 5, 49)",cyan,1,80,grey_old
9,"[87, 92, 92, 177]","(185, 5, 49)",cyan,1,79,grey_old
10,"[90, 96, 96, 184]","(182, 5, 49)",cyan,1,79,grey_old
11,"[85, 89, 90, 170]","(185, 5, 49)",cyan,1,82,grey_old
12,"[91, 95, 96, 183]","(181, 5, 49)",cyan,1,80,grey_old
13,"[90, 95, 95, 185]","(181, 5, 48)",cyan,1,79,grey_old
14,"[90, 96, 96, 185]","(185, 5, 49)",cyan,1,78,grey_old
15,"[90, 96, 96, 185]","(184, 5, 49)",cyan,1,79,grey_old
16,"[90, 96, 96, 180]","(183, 5, 49)",cyan,1,70,grey_old
17,"[82, 87, 87, 164]","(186, 5, 49)",cyan,2,70,grey_old
18,"[90, 95, 96, 180]","(183, 5, 49)",cyan,2,82,grey_old
19,"[90, 96, 96, 183]","(181, 5, 49)",cyan,2,80,grey_old
20,"[75, 79, 80, 154]","(186, 5, 49)",cyan,1,79,grey_old
21,"[91, 96, 96, 180]","(184, 5, 49)",cyan,2,82,grey_old
22,"[90, 96, 96, 183]","(181, 5, 49)",cyan,1,80,grey_old
23,"[91, 96, 96, 180]","(185, 5, 49)",cyan,1,83,grey_old
24,"[87, 92, 92, 174]","(185, 5, 49)",cyan,2,82,grey_old
25,"[91, 96, 96, 180]","(183, 5, 49)",cyan,2,82,grey_old
26,"[90, 96, 96, 180]","(185, 5, 49)",cyan,2,94,grey_old
27,"[60, 64, 64, 121]","(184, 5, 49)",cyan,2,81,grey_old
28,"[71, 74, 75, 140]","(185, 5, 49)",cyan,2,83,grey_old
29,"[90, 96, 96, 180]","(185, 5, 49)",cyan,2,83,grey_old
30,"[90, 96, 96, 179]","(183, 5, 49)",cyan,2,83,grey_old
31,"[90, 96, 96, 183]","(184, 5, 49)",cyan,2,80,grey_old
32,"[61, 64, 65, 123]","(183, 5, 49)",cyan,1,80,grey_old
33,"[90, 96, 96, 180]","(185, 5, 49)",cyan,2,82,grey_old
34,"[91, 95, 96, 181]","(186, 5, 49)",cyan,2,82,grey_old
35,"[90, 96, 96, 180]","(185, 5, 49)",cyan,2,83,grey_old
36,"[87, 92, 92, 173]","(186, 5, 49)",cyan,1,94,grey_old
37,"[90, 95, 96, 180]","(186, 5, 49)",cyan,2,83,grey_old
38,"[91, 96, 96, 180]","(187, 6, 49)",cyan,2,83,grey_old
39,"[91, 96, 96, 181]","(183, 5, 49)",cyan,2,82,grey_old
40,"[90, 96, 96, 181]","(183, 5, 49)",cyan,2,82,grey_old
41,"[91, 96, 96, 183]","(183, 5, 49)",cyan,2,80,grey_old
42,"[90, 95, 96, 184]","(186, 5, 49)",cyan,1,80,grey_old
43,"[65, 68, 69, 133]","(187, 5, 49)",cyan,1,72,grey_old
44,"[84, 89, 89, 174]","(184, 5, 49)",cyan,1,77,grey_old
45,"[74, 78, 78, 150]","(185, 5, 49)",cyan,1,80,grey_old
46,"[91, 95, 96, 181]","(184, 5, 49)",cyan,2,82,grey_old
47,"[91, 96, 96, 183]","(182, 5, 49)",cyan,1,80,grey_old
48,"[91, 96, 97, 180]","(185, 5, 49)",cyan,1,70,grey_old
49,"[91, 96, 96, 183]","(183, 5, 49)",cyan,1,87,grey_old
50,"[91, 95, 96, 184]","(185, 5, 49)",cyan,1,79,grey_old
51,"[90, 96, 96, 186]","(184, 5, 49)",cyan,1,97,grey_old
52,"[90, 96, 96, 186]","(181, 5, 49)",cyan,1,77,grey_old
53,"[60, 63, 64, 125]","(185, 5, 49)",cyan,0,77,grey_old
54,"[90, 95, 96, 187]","(186, 5, 49)",cyan,1,98,grey_old
55,"[90, 95, 96, 187]","(185, 5, 49)",cyan,0,77,grey_old
56,"[90, 95, 96, 187]","(183, 5, 49)",cyan,0,77,grey_old
57,"[61, 65, 65, 127]","(187, 5, 49)",cyan,1,77,grey_old
58,"[90, 95, 96, 187]","(186, 5, 49)",cyan,0,77,grey_old
59,"[83, 87, 88, 172]","(185, 5, 49)",cyan,0,98,grey_old
