,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[255, 255, 255, 254]","(90, 1, 97)",white,0,74,grey_old
1,"[191, 191, 191, 190]","(90, 0, 97)",white,1,74,grey_old
2,"[191, 191, 191, 190]","(0, 0, 97)",white,1,74,grey_old
3,"[191, 191, 191, 190]","(180, 0, 97)",white,0,74,grey_old
4,"[127, 127, 127, 127]","(90, 0, 97)",white,0,74,grey_old
5,"[190, 191, 191, 190]","(180, 0, 97)",white,0,74,grey_old
6,"[149, 153, 152, 150]","(0, 0, 97)",white,0,74,grey_old
7,"[190, 191, 191, 190]","(180, 0, 97)",white,0,74,grey_old
8,"[190, 191, 191, 190]","(180, 0, 97)",white,1,74,grey_old
9,"[190, 191, 191, 190]","(90, 0, 97)",white,0,74,grey_old
10,"[190, 191, 191, 190]","(90, 0, 97)",white,0,98,grey_old
11,"[190, 191, 191, 190]","(90, 0, 97)",white,0,74,grey_old
12,"[190, 191, 191, 190]","(193, 0, 97)",white,0,98,grey_old
13,"[147, 151, 151, 148]","(180, 0, 97)",white,1,74,grey_old
14,"[190, 191, 191, 190]","(209, 0, 97)",white,0,74,grey_old
15,"[190, 190, 190, 190]","(340, 0, 97)",white,0,98,grey_old
16,"[190, 190, 190, 190]","(0, 0, 97)",white,0,74,grey_old
17,"[190, 190, 190, 190]","(0, 0, 97)",white,0,74,grey_old
18,"[190, 190, 190, 190]","(0, 0, 97)",white,0,74,grey_old
19,"[127, 127, 127, 127]","(0, 0, 97)",white,0,99,grey_old
20,"[190, 190, 190, 190]","(0, 0, 97)",white,1,74,grey_old
21,"[190, 190, 190, 190]","(209, 0, 97)",white,0,75,grey_old
22,"[149, 152, 152, 150]","(209, 0, 97)",white,0,75,grey_old
23,"[190, 190, 190, 190]","(209, 0, 97)",white,0,75,grey_old
24,"[198, 199, 199, 199]","(180, 0, 97)",white,2,99,grey_old
25,"[190, 190, 190, 190]","(209, 0, 97)",white,0,98,grey_old
26,"[190, 190, 190, 190]","(180, 0, 97)",white,0,75,grey_old
27,"[190, 190, 190, 190]","(180, 0, 97)",white,0,75,grey_old
28,"[190, 190, 190, 190]","(0, 0, 97)",white,0,74,grey_old
29,"[134, 135, 135, 135]","(0, 0, 97)",white,1,74,grey_old
30,"[190, 190, 190, 190]","(0, 0, 97)",white,1,99,grey_old
31,"[127, 127, 127, 127]","(0, 0, 97)",white,1,99,grey_old
32,"[190, 190, 190, 190]","(0, 0, 97)",white,0,74,grey_old
33,"[190, 190, 190, 190]","(0, 0, 97)",white,0,74,grey_old
34,"[190, 190, 190, 190]","(0, 0, 97)",white,0,74,grey_old
35,"[190, 190, 190, 190]","(0, 0, 97)",white,0,74,grey_old
36,"[190, 190, 190, 190]","(0, 0, 97)",white,0,74,grey_old
37,"[190, 190, 190, 190]","(0, 0, 97)",white,1,74,grey_old
38,"[190, 190, 190, 190]","(0, 0, 97)",white,0,74,grey_old
39,"[190, 190, 190, 190]","(340, 0, 97)",white,0,74,grey_old
40,"[190, 190, 190, 190]","(340, 0, 97)",white,0,98,grey_old
41,"[190, 190, 190, 190]","(0, 0, 97)",white,0,99,grey_old
42,"[127, 127, 127, 127]","(0, 0, 97)",white,0,74,grey_old
43,"[190, 190, 190, 190]","(0, 0, 97)",white,0,74,grey_old
44,"[190, 190, 190, 190]","(0, 0, 97)",white,0,74,grey_old
45,"[127, 127, 127, 127]","(0, 0, 97)",white,0,74,grey_old
46,"[161, 166, 166, 162]","(0, 0, 97)",white,0,74,grey_old
47,"[190, 190, 190, 190]","(90, 0, 97)",white,0,75,grey_old
48,"[127, 127, 127, 127]","(0, 0, 97)",white,0,74,grey_old
49,"[190, 190, 190, 190]","(0, 0, 97)",white,0,74,grey_old
