,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[23, 10, 14, 37]","(339, 54, 11)",black,0,17,magenta
1,"[22, 9, 14, 35]","(338, 54, 11)",black,0,18,magenta
2,"[22, 9, 13, 35]","(339, 53, 11)",black,0,19,magenta
3,"[22, 9, 13, 35]","(339, 54, 11)",black,1,22,magenta
4,"[22, 9, 13, 35]","(339, 53, 11)",black,0,17,magenta
5,"[22, 9, 14, 35]","(339, 54, 11)",black,0,17,magenta
6,"[22, 9, 14, 35]","(338, 54, 11)",black,0,14,magenta
7,"[15, 6, 9, 23]","(338, 54, 11)",black,0,20,magenta
8,"[22, 9, 14, 35]","(339, 54, 11)",black,1,17,magenta
9,"[20, 8, 12, 31]","(338, 54, 11)",black,0,17,magenta
10,"[22, 9, 14, 35]","(338, 54, 11)",black,0,13,magenta
11,"[22, 9, 14, 35]","(338, 53, 11)",black,0,18,magenta
12,"[22, 9, 14, 35]","(337, 54, 11)",black,0,17,magenta
13,"[19, 8, 12, 31]","(338, 54, 11)",black,0,18,magenta
14,"[20, 8, 13, 32]","(337, 54, 11)",black,1,19,magenta
15,"[22, 9, 14, 35]","(338, 54, 11)",black,0,18,magenta
16,"[22, 9, 14, 35]","(338, 53, 11)",black,0,19,magenta
17,"[24, 10, 15, 38]","(339, 53, 11)",black,0,18,magenta
18,"[20, 8, 12, 32]","(339, 52, 11)",black,0,13,magenta
19,"[7, 3, 4, 11]","(338, 54, 11)",black,0,17,magenta
20,"[15, 6, 9, 23]","(339, 52, 11)",black,0,19,magenta
21,"[22, 9, 14, 35]","(339, 53, 11)",black,0,18,magenta
22,"[22, 9, 14, 35]","(339, 53, 11)",black,0,17,magenta
23,"[22, 9, 14, 35]","(338, 54, 11)",black,0,16,magenta
24,"[22, 9, 14, 35]","(340, 54, 11)",black,0,18,magenta
25,"[22, 9, 14, 35]","(337, 54, 11)",black,1,19,magenta
26,"[22, 9, 14, 35]","(339, 53, 11)",black,0,17,magenta
27,"[22, 9, 14, 35]","(339, 53, 11)",black,0,17,magenta
28,"[22, 9, 14, 35]","(338, 53, 11)",black,0,20,magenta
29,"[22, 9, 14, 35]","(339, 52, 11)",black,0,17,magenta
30,"[18, 7, 11, 28]","(338, 53, 11)",black,0,13,magenta
31,"[22, 9, 14, 35]","(338, 54, 11)",black,0,17,magenta
32,"[22, 9, 14, 35]","(338, 54, 11)",black,0,18,magenta
33,"[15, 6, 9, 23]","(338, 54, 11)",black,0,16,magenta
34,"[22, 9, 14, 35]","(338, 54, 11)",black,0,18,magenta
35,"[22, 9, 14, 35]","(338, 54, 11)",black,0,20,magenta
36,"[22, 9, 14, 35]","(339, 53, 11)",black,0,20,magenta
37,"[22, 9, 14, 35]","(338, 54, 11)",black,0,18,magenta
38,"[18, 7, 11, 28]","(337, 54, 11)",black,0,17,magenta
39,"[22, 9, 14, 35]","(339, 52, 11)",black,0,14,magenta
40,"[15, 6, 9, 23]","(339, 54, 11)",black,0,18,magenta
41,"[22, 9, 14, 35]","(338, 54, 11)",black,0,19,magenta
42,"[22, 9, 14, 35]","(337, 54, 11)",black,1,18,magenta
43,"[22, 9, 14, 35]","(338, 53, 11)",black,0,17,magenta
44,"[22, 9, 14, 35]","(338, 54, 11)",black,0,17,magenta
45,"[22, 9, 14, 35]","(339, 52, 11)",black,0,17,magenta
46,"[21, 9, 13, 33]","(337, 53, 11)",black,0,16,magenta
47,"[15, 6, 9, 24]","(338, 54, 11)",black,0,16,magenta
48,"[22, 9, 14, 35]","(339, 52, 11)",black,0,17,magenta
49,"[22, 9, 14, 35]","(338, 54, 11)",black,0,16,magenta
50,"[22, 9, 14, 35]","(338, 53, 11)",black,0,15,magenta
51,"[21, 9, 13, 33]","(337, 54, 11)",black,0,18,magenta
52,"[22, 9, 14, 35]","(337, 54, 11)",black,0,16,magenta
53,"[22, 9, 14, 35]","(337, 53, 11)",black,0,16,magenta
54,"[22, 9, 14, 35]","(337, 54, 11)",black,0,16,magenta
55,"[22, 9, 14, 35]","(338, 54, 11)",black,0,16,magenta
56,"[22, 9, 14, 35]","(337, 53, 11)",black,0,16,magenta
57,"[18, 8, 11, 29]","(337, 54, 11)",black,0,18,magenta
58,"[22, 9, 14, 35]","(339, 53, 11)",black,0,14,magenta
59,"[22, 9, 14, 35]","(337, 54, 11)",black,0,17,magenta
60,"[22, 9, 14, 35]","(339, 53, 11)",black,0,17,magenta
61,"[15, 6, 9, 23]","(338, 53, 11)",black,0,17,magenta
62,"[15, 6, 9, 23]","(337, 53, 11)",black,0,16,magenta
63,"[22, 9, 14, 35]","(338, 53, 11)",black,0,16,magenta
64,"[20, 9, 13, 32]","(339, 54, 11)",black,0,16,magenta
65,"[22, 9, 14, 35]","(339, 53, 11)",black,0,15,magenta
66,"[15, 6, 9, 23]","(338, 54, 11)",black,0,15,magenta
67,"[22, 9, 14, 35]","(338, 53, 11)",black,0,16,magenta
68,"[22, 9, 14, 35]","(339, 52, 11)",black,0,17,magenta
69,"[22, 9, 14, 35]","(339, 53, 11)",black,0,17,magenta
70,"[18, 8, 11, 29]","(339, 53, 11)",black,0,17,magenta
71,"[15, 6, 9, 23]","(338, 54, 11)",black,0,17,magenta
72,"[22, 9, 14, 35]","(338, 52, 11)",black,0,17,magenta
73,"[22, 9, 14, 35]","(338, 54, 11)",black,0,16,magenta
74,"[21, 9, 13, 34]","(338, 53, 11)",black,0,16,magenta
75,"[7, 3, 4, 11]","(338, 54, 11)",black,0,16,magenta
76,"[22, 9, 14, 35]","(338, 54, 11)",black,0,17,magenta
77,"[22, 9, 14, 35]","(340, 53, 11)",black,0,18,magenta
78,"[15, 6, 9, 23]","(337, 54, 11)",black,0,17,magenta
79,"[22, 9, 14, 35]","(340, 53, 11)",black,0,17,magenta
80,"[22, 9, 14, 35]","(340, 53, 11)",black,0,17,magenta
81,"[22, 9, 14, 35]","(339, 53, 11)",black,0,17,magenta
82,"[24, 10, 15, 38]","(338, 54, 11)",black,0,17,magenta
83,"[22, 9, 13, 34]","(339, 54, 11)",black,0,17,magenta
84,"[17, 7, 11, 27]","(339, 54, 11)",black,0,18,magenta
85,"[22, 9, 14, 35]","(337, 53, 11)",black,0,17,magenta
86,"[22, 9, 14, 35]","(338, 54, 11)",black,0,18,magenta
87,"[16, 7, 10, 25]","(339, 53, 11)",black,0,17,magenta
88,"[19, 8, 12, 30]","(339, 54, 11)",black,0,18,magenta
89,"[19, 8, 12, 30]","(339, 54, 11)",black,0,18,magenta
90,"[22, 9, 14, 35]","(337, 54, 11)",black,0,18,magenta
91,"[22, 9, 14, 35]","(338, 54, 11)",black,0,18,magenta
92,"[21, 9, 13, 33]","(337, 53, 11)",black,0,17,magenta
93,"[22, 9, 14, 35]","(338, 54, 11)",black,0,17,magenta
94,"[22, 9, 14, 35]","(338, 53, 11)",black,0,18,magenta
95,"[22, 9, 14, 35]","(339, 52, 11)",black,0,14,magenta
96,"[22, 9, 14, 35]","(340, 53, 11)",black,0,17,magenta
