,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[5, 2, 4, 9]","(336, 46, 2)",black,1,3,magenta
1,"[5, 2, 3, 9]","(336, 46, 2)",black,2,15,magenta
2,"[5, 3, 3, 9]","(339, 44, 2)",black,2,15,magenta
3,"[5, 3, 3, 9]","(339, 44, 2)",black,2,4,magenta
4,"[5, 2, 3, 9]","(336, 46, 2)",black,2,14,magenta
5,"[5, 3, 3, 9]","(336, 45, 2)",black,2,3,magenta
6,"[5, 3, 3, 9]","(339, 44, 2)",black,2,15,magenta
7,"[5, 2, 3, 8]","(339, 44, 2)",black,2,15,magenta
8,"[5, 3, 3, 9]","(339, 44, 2)",black,2,15,magenta
9,"[4, 2, 3, 8]","(340, 47, 2)",black,2,3,magenta
10,"[5, 3, 3, 9]","(337, 43, 2)",black,2,4,magenta
11,"[5, 3, 3, 9]","(338, 44, 2)",black,2,14,magenta
12,"[5, 3, 3, 9]","(338, 44, 2)",black,2,15,magenta
13,"[5, 2, 3, 9]","(333, 45, 2)",black,2,5,magenta
14,"[3, 2, 2, 6]","(339, 44, 2)",black,2,14,magenta
