,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[79, 33, 48, 121]","(338, 55, 40)",black,0,63,magenta
1,"[79, 33, 49, 121]","(338, 55, 40)",black,0,47,magenta
2,"[79, 33, 49, 121]","(338, 56, 40)",black,0,47,magenta
3,"[79, 33, 48, 121]","(338, 56, 40)",black,0,62,magenta
4,"[79, 33, 48, 121]","(338, 56, 40)",black,0,47,magenta
5,"[79, 33, 48, 121]","(338, 56, 40)",black,0,47,magenta
6,"[72, 30, 44, 111]","(338, 55, 40)",black,0,47,magenta
7,"[76, 32, 47, 117]","(338, 55, 40)",black,0,47,magenta
8,"[79, 33, 48, 121]","(338, 55, 40)",black,0,47,magenta
9,"[62, 26, 38, 95]","(338, 55, 40)",black,0,47,magenta
10,"[79, 33, 48, 121]","(338, 55, 40)",black,0,63,magenta
11,"[56, 23, 34, 86]","(338, 56, 40)",black,0,47,magenta
12,"[79, 33, 49, 121]","(338, 55, 40)",black,0,47,magenta
13,"[78, 33, 48, 121]","(338, 56, 40)",black,0,47,magenta
14,"[78, 33, 48, 121]","(338, 55, 40)",black,0,48,magenta
15,"[79, 33, 48, 121]","(338, 55, 40)",black,0,47,magenta
16,"[79, 33, 49, 121]","(338, 55, 40)",black,0,63,magenta
17,"[78, 33, 48, 121]","(338, 55, 40)",black,0,47,magenta
18,"[79, 33, 49, 121]","(338, 55, 40)",black,0,48,magenta
19,"[69, 29, 42, 106]","(338, 56, 40)",black,0,48,magenta
20,"[79, 33, 49, 121]","(338, 55, 40)",black,0,48,magenta
21,"[79, 33, 49, 121]","(338, 55, 40)",black,0,48,magenta
22,"[79, 33, 48, 121]","(338, 55, 40)",black,0,48,magenta
23,"[79, 33, 48, 121]","(338, 55, 40)",black,0,48,magenta
24,"[79, 33, 49, 121]","(338, 55, 40)",black,0,63,magenta
25,"[79, 33, 48, 121]","(338, 55, 40)",black,0,48,magenta
26,"[79, 33, 49, 121]","(338, 55, 40)",black,0,48,magenta
27,"[77, 33, 48, 119]","(338, 56, 40)",black,0,48,magenta
28,"[52, 22, 32, 81]","(338, 55, 40)",black,0,48,magenta
29,"[66, 28, 41, 101]","(338, 55, 40)",black,0,48,magenta
