,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[131, 50, 79, 141]","(338, 59, 91)",red,0,75,magenta
1,"[179, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
2,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
3,"[149, 57, 89, 160]","(338, 59, 91)",red,0,100,magenta
4,"[141, 54, 85, 151]","(338, 59, 91)",red,0,75,magenta
5,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
6,"[179, 69, 108, 191]","(338, 59, 91)",red,0,100,magenta
7,"[119, 46, 72, 127]","(338, 59, 91)",red,0,75,magenta
8,"[151, 58, 90, 161]","(338, 59, 91)",red,0,75,magenta
9,"[180, 69, 108, 191]","(338, 59, 91)",red,0,100,magenta
10,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
11,"[179, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
12,"[179, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
13,"[172, 66, 103, 183]","(338, 59, 91)",red,0,75,magenta
14,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
15,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
16,"[180, 69, 108, 191]","(338, 59, 91)",red,0,100,magenta
17,"[159, 61, 95, 170]","(338, 59, 91)",red,0,75,magenta
18,"[179, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
19,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
20,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
21,"[179, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
22,"[179, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
23,"[120, 46, 72, 127]","(338, 59, 91)",red,0,75,magenta
24,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
25,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
26,"[179, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
27,"[179, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
28,"[179, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
29,"[154, 59, 92, 165]","(338, 59, 91)",red,0,75,magenta
30,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
31,"[180, 69, 108, 191]","(338, 59, 91)",red,0,74,magenta
32,"[179, 69, 108, 191]","(338, 59, 91)",red,0,74,magenta
33,"[180, 69, 108, 191]","(338, 59, 91)",red,0,74,magenta
34,"[121, 46, 72, 128]","(338, 59, 91)",red,0,74,magenta
35,"[180, 69, 108, 191]","(338, 59, 91)",red,0,100,magenta
36,"[179, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
37,"[180, 69, 108, 191]","(338, 59, 91)",red,0,74,magenta
38,"[179, 69, 108, 191]","(338, 59, 91)",red,0,99,magenta
39,"[179, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
40,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
41,"[147, 56, 88, 157]","(338, 59, 91)",red,0,100,magenta
42,"[179, 69, 108, 191]","(338, 59, 91)",red,0,99,magenta
43,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
44,"[122, 46, 73, 130]","(338, 59, 91)",red,0,75,magenta
45,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
46,"[160, 61, 96, 170]","(338, 59, 91)",red,0,100,magenta
47,"[180, 69, 108, 191]","(338, 59, 92)",red,0,74,magenta
48,"[191, 73, 114, 203]","(338, 59, 91)",red,0,75,magenta
49,"[120, 46, 72, 127]","(338, 59, 91)",red,0,75,magenta
50,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
51,"[180, 69, 108, 191]","(338, 59, 91)",red,0,100,magenta
52,"[153, 58, 91, 163]","(338, 59, 91)",red,0,100,magenta
53,"[179, 69, 108, 191]","(338, 59, 91)",red,0,99,magenta
54,"[180, 69, 108, 191]","(338, 59, 91)",red,0,99,magenta
55,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
56,"[166, 63, 99, 177]","(338, 59, 91)",red,0,75,magenta
57,"[180, 69, 108, 191]","(338, 59, 91)",red,0,99,magenta
58,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
59,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
60,"[120, 46, 72, 127]","(338, 59, 91)",red,0,75,magenta
61,"[179, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
62,"[180, 69, 108, 191]","(338, 59, 92)",red,0,75,magenta
63,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
64,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
65,"[180, 69, 108, 191]","(338, 59, 91)",red,0,100,magenta
66,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
67,"[180, 69, 108, 191]","(338, 59, 91)",red,1,100,magenta
68,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
69,"[120, 46, 72, 127]","(338, 59, 91)",red,0,75,magenta
70,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
71,"[158, 60, 94, 169]","(338, 59, 91)",red,0,75,magenta
72,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
73,"[180, 69, 108, 191]","(338, 59, 92)",red,0,75,magenta
74,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
75,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
76,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
77,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
78,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
79,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
80,"[180, 69, 108, 191]","(338, 59, 92)",red,0,75,magenta
81,"[158, 60, 94, 168]","(338, 59, 91)",red,0,75,magenta
82,"[127, 49, 76, 136]","(338, 59, 92)",red,0,75,magenta
83,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
84,"[180, 69, 108, 191]","(338, 59, 91)",red,0,100,magenta
85,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
86,"[185, 71, 111, 197]","(338, 59, 91)",red,0,75,magenta
87,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
88,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
89,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
90,"[145, 56, 87, 154]","(338, 59, 91)",red,0,75,magenta
91,"[120, 46, 72, 127]","(338, 59, 91)",red,0,75,magenta
92,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
93,"[120, 46, 72, 127]","(338, 59, 91)",red,0,75,magenta
94,"[120, 46, 72, 127]","(338, 59, 91)",red,0,100,magenta
95,"[180, 69, 108, 191]","(338, 59, 91)",red,0,99,magenta
96,"[180, 69, 108, 191]","(338, 59, 92)",red,0,75,magenta
97,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
98,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
99,"[180, 69, 108, 191]","(338, 59, 91)",red,1,75,magenta
100,"[180, 69, 108, 191]","(338, 59, 92)",red,0,75,magenta
101,"[180, 69, 108, 191]","(338, 59, 91)",red,0,100,magenta
102,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
103,"[120, 46, 72, 127]","(338, 59, 91)",red,0,100,magenta
104,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
105,"[205, 79, 123, 219]","(338, 59, 91)",red,0,100,magenta
106,"[180, 69, 108, 191]","(338, 59, 92)",red,0,75,magenta
107,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
108,"[180, 69, 107, 191]","(338, 59, 91)",red,0,99,magenta
109,"[185, 71, 110, 196]","(338, 59, 91)",red,0,75,magenta
110,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
111,"[120, 46, 72, 127]","(338, 59, 91)",red,0,75,magenta
112,"[180, 69, 108, 191]","(338, 59, 92)",red,0,100,magenta
113,"[180, 69, 108, 191]","(338, 59, 92)",red,0,75,magenta
114,"[180, 69, 108, 191]","(338, 59, 92)",red,0,99,magenta
115,"[120, 46, 72, 127]","(338, 59, 91)",red,0,75,magenta
116,"[180, 69, 108, 191]","(338, 59, 91)",red,0,100,magenta
117,"[180, 69, 108, 191]","(338, 59, 92)",red,0,75,magenta
118,"[132, 51, 79, 141]","(338, 59, 92)",red,0,75,magenta
119,"[180, 69, 108, 191]","(338, 59, 91)",red,0,75,magenta
