,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[47, 16, 20, 65]","(352, 64, 18)",black,0,19,red
1,"[47, 15, 20, 65]","(351, 63, 24)",black,0,26,red
2,"[47, 15, 20, 65]","(351, 63, 24)",black,0,26,red
3,"[47, 15, 20, 65]","(351, 63, 24)",black,0,34,red
4,"[47, 15, 20, 65]","(351, 63, 24)",black,0,26,red
5,"[47, 15, 20, 65]","(351, 63, 24)",black,0,26,red
6,"[33, 11, 14, 45]","(351, 63, 24)",black,0,26,red
7,"[47, 15, 20, 65]","(351, 63, 24)",black,0,25,red
8,"[47, 15, 20, 65]","(351, 63, 24)",black,0,26,red
9,"[47, 15, 20, 65]","(351, 63, 24)",black,0,26,red
10,"[47, 15, 20, 65]","(351, 63, 24)",black,0,26,red
11,"[47, 15, 20, 65]","(351, 63, 24)",black,0,34,red
12,"[47, 15, 20, 65]","(351, 63, 24)",black,0,26,red
13,"[57, 19, 24, 79]","(351, 63, 24)",black,0,26,red
14,"[44, 14, 19, 61]","(352, 63, 24)",black,0,26,red
15,"[47, 15, 20, 65]","(351, 63, 24)",black,0,26,red
16,"[47, 15, 20, 65]","(351, 63, 24)",black,0,26,red
17,"[36, 12, 15, 50]","(351, 63, 24)",black,0,26,red
18,"[47, 15, 20, 65]","(351, 63, 24)",black,0,26,red
19,"[47, 15, 20, 65]","(351, 63, 24)",black,0,26,red
20,"[47, 15, 20, 65]","(351, 63, 24)",black,0,26,red
21,"[44, 15, 19, 61]","(351, 63, 24)",black,0,26,red
22,"[47, 15, 20, 65]","(351, 63, 24)",black,0,26,red
23,"[47, 15, 20, 65]","(351, 63, 24)",black,0,26,red
24,"[47, 15, 20, 65]","(351, 63, 24)",black,0,26,red
25,"[47, 15, 20, 65]","(351, 63, 24)",black,0,25,red
26,"[47, 15, 20, 65]","(351, 63, 24)",black,0,26,red
27,"[33, 11, 14, 46]","(351, 63, 24)",black,0,26,red
28,"[47, 15, 20, 65]","(351, 63, 24)",black,0,26,red
29,"[44, 14, 19, 61]","(351, 63, 24)",black,0,25,red
