,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[6, 2, 3, 9]","(349, 57, 3)",black,3,33,red
1,"[6, 2, 3, 9]","(347, 58, 3)",black,6,3,red
2,"[6, 2, 3, 9]","(352, 56, 3)",black,6,3,red
3,"[6, 2, 3, 9]","(355, 53, 3)",black,5,29,red
4,"[5, 2, 2, 8]","(348, 58, 3)",black,3,23,red
5,"[6, 2, 3, 9]","(351, 58, 3)",black,3,19,red
6,"[6, 2, 3, 9]","(351, 57, 3)",black,3,16,red
7,"[6, 2, 3, 9]","(349, 58, 3)",black,2,3,red
8,"[6, 2, 3, 9]","(348, 55, 3)",black,1,16,red
9,"[6, 2, 3, 9]","(351, 58, 3)",black,2,16,red
10,"[6, 2, 2, 9]","(351, 58, 3)",black,2,15,red
11,"[7, 2, 3, 10]","(348, 58, 3)",black,2,15,red
12,"[6, 2, 3, 9]","(351, 57, 3)",black,2,17,red
13,"[6, 2, 3, 9]","(350, 58, 3)",black,3,18,red
14,"[6, 2, 3, 9]","(349, 58, 3)",black,3,3,red
