,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[49, 17, 21, 69]","(351, 63, 25)",black,0,27,red
1,"[47, 16, 20, 66]","(351, 63, 24)",black,0,26,red
2,"[31, 10, 13, 44]","(351, 64, 24)",black,0,26,red
3,"[102, 35, 44, 141]","(351, 63, 50)",red,0,54,red
4,"[66, 23, 29, 92]","(351, 63, 51)",red,0,71,red
5,"[66, 23, 29, 92]","(351, 63, 51)",red,0,54,red
6,"[100, 34, 43, 139]","(351, 63, 50)",red,0,54,red
7,"[100, 34, 43, 138]","(351, 63, 51)",red,0,54,red
8,"[99, 34, 43, 138]","(351, 63, 50)",red,0,54,red
9,"[98, 34, 43, 137]","(351, 63, 50)",red,0,54,red
10,"[99, 34, 43, 138]","(351, 63, 51)",red,0,54,red
11,"[99, 34, 43, 138]","(351, 63, 51)",red,0,54,red
12,"[100, 34, 43, 138]","(351, 63, 51)",red,0,71,red
13,"[99, 34, 43, 138]","(351, 63, 51)",red,0,54,red
14,"[100, 34, 43, 138]","(351, 63, 51)",red,0,54,red
15,"[99, 34, 43, 138]","(351, 63, 51)",red,0,54,red
16,"[110, 38, 47, 153]","(351, 63, 51)",red,0,54,red
17,"[100, 34, 43, 138]","(351, 63, 51)",red,0,54,red
18,"[99, 34, 42, 138]","(351, 63, 51)",red,0,54,red
19,"[74, 25, 32, 102]","(351, 63, 51)",red,0,54,red
20,"[99, 34, 43, 138]","(351, 63, 51)",red,0,71,red
21,"[82, 28, 35, 114]","(351, 63, 51)",red,0,54,red
22,"[99, 34, 42, 138]","(351, 63, 51)",red,0,72,red
23,"[108, 37, 47, 150]","(351, 63, 51)",red,0,54,red
24,"[99, 34, 43, 138]","(351, 63, 51)",red,0,54,red
25,"[100, 34, 43, 138]","(351, 63, 51)",red,0,54,red
26,"[99, 34, 43, 138]","(351, 63, 51)",red,0,54,red
27,"[100, 34, 43, 138]","(351, 63, 51)",red,0,54,red
28,"[100, 34, 43, 138]","(351, 63, 50)",red,0,54,red
29,"[99, 34, 42, 137]","(351, 63, 50)",red,0,54,red
30,"[99, 34, 42, 138]","(351, 63, 51)",red,0,54,red
31,"[100, 34, 43, 138]","(351, 63, 51)",red,0,54,red
32,"[99, 34, 42, 138]","(351, 63, 51)",red,0,72,red
33,"[100, 34, 43, 138]","(351, 63, 50)",red,0,54,red
34,"[84, 29, 36, 117]","(351, 63, 51)",red,0,54,red
35,"[99, 34, 43, 138]","(351, 63, 51)",red,0,54,red
36,"[99, 34, 43, 138]","(351, 63, 51)",red,0,54,red
37,"[99, 34, 43, 138]","(351, 63, 51)",red,1,54,red
38,"[100, 34, 43, 138]","(351, 63, 51)",red,0,54,red
39,"[82, 28, 35, 114]","(351, 63, 51)",red,0,54,red
40,"[99, 34, 43, 138]","(351, 63, 51)",red,0,54,red
41,"[66, 23, 28, 92]","(351, 63, 51)",red,0,54,red
42,"[99, 34, 42, 138]","(351, 63, 51)",red,0,54,red
43,"[99, 34, 43, 138]","(351, 63, 50)",red,0,54,red
44,"[99, 34, 42, 138]","(351, 63, 51)",red,0,54,red
45,"[99, 34, 42, 138]","(351, 63, 50)",red,0,71,red
46,"[100, 34, 43, 138]","(351, 63, 50)",red,0,54,red
47,"[99, 34, 43, 138]","(351, 63, 50)",red,0,54,red
48,"[99, 34, 43, 138]","(351, 63, 50)",red,0,54,red
49,"[99, 34, 42, 138]","(351, 63, 51)",red,0,54,red
50,"[99, 34, 42, 138]","(351, 63, 50)",red,0,54,red
51,"[99, 34, 43, 138]","(351, 63, 50)",red,0,72,red
52,"[100, 34, 43, 138]","(351, 63, 50)",red,0,54,red
53,"[99, 34, 42, 138]","(351, 63, 50)",red,0,54,red
54,"[99, 34, 42, 138]","(351, 63, 50)",red,0,72,red
55,"[99, 34, 43, 138]","(351, 63, 50)",red,0,54,red
56,"[79, 27, 34, 110]","(351, 63, 50)",red,0,54,red
57,"[99, 34, 43, 138]","(351, 63, 50)",red,0,54,red
58,"[70, 24, 30, 97]","(351, 63, 50)",red,0,54,red
59,"[99, 34, 43, 138]","(351, 63, 50)",red,0,72,red
