,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[190, 71, 92, 190]","(349, 60, 97)",red,0,74,red
1,"[190, 71, 92, 190]","(349, 60, 97)",red,0,74,red
2,"[190, 71, 92, 191]","(349, 61, 97)",red,0,74,red
3,"[190, 71, 92, 190]","(349, 61, 97)",red,1,74,red
4,"[190, 71, 92, 190]","(349, 60, 97)",red,0,99,red
5,"[190, 71, 92, 191]","(348, 61, 97)",red,0,74,red
6,"[190, 71, 92, 190]","(349, 61, 97)",red,0,74,red
7,"[190, 71, 92, 190]","(349, 60, 97)",red,0,74,red
8,"[127, 47, 61, 127]","(349, 61, 97)",red,0,99,red
9,"[190, 71, 92, 190]","(349, 61, 97)",red,0,74,red
10,"[190, 71, 92, 190]","(349, 61, 97)",red,0,74,red
11,"[190, 71, 92, 191]","(349, 61, 97)",red,0,99,red
12,"[190, 71, 92, 190]","(349, 61, 97)",red,0,74,red
13,"[191, 71, 92, 191]","(349, 61, 97)",red,0,74,red
14,"[190, 71, 92, 191]","(349, 61, 97)",red,0,74,red
15,"[217, 80, 105, 218]","(349, 61, 97)",red,0,74,red
16,"[190, 71, 92, 190]","(349, 61, 97)",red,0,74,red
17,"[190, 71, 92, 190]","(349, 61, 97)",red,0,74,red
18,"[190, 70, 92, 190]","(349, 61, 97)",red,0,74,red
19,"[190, 71, 92, 190]","(349, 61, 97)",red,0,74,red
20,"[190, 71, 92, 191]","(349, 61, 97)",red,0,74,red
21,"[190, 70, 92, 190]","(349, 61, 97)",red,0,74,red
22,"[127, 47, 61, 127]","(349, 61, 97)",red,0,74,red
23,"[190, 70, 92, 190]","(349, 61, 97)",red,0,74,red
24,"[210, 77, 101, 210]","(349, 61, 97)",red,0,74,red
25,"[190, 71, 92, 190]","(349, 61, 97)",red,0,74,red
26,"[190, 70, 92, 191]","(349, 61, 97)",red,0,74,red
27,"[190, 71, 92, 190]","(349, 61, 97)",red,0,99,red
28,"[190, 70, 92, 191]","(349, 61, 97)",red,0,74,red
29,"[153, 56, 73, 153]","(349, 61, 97)",red,0,74,red
30,"[127, 47, 61, 127]","(349, 61, 97)",red,0,74,red
31,"[190, 71, 92, 190]","(349, 61, 97)",red,0,99,red
32,"[190, 71, 92, 190]","(349, 61, 97)",red,0,74,red
33,"[190, 71, 92, 190]","(349, 61, 97)",red,0,74,red
34,"[190, 71, 92, 190]","(349, 61, 97)",red,0,74,red
35,"[190, 71, 92, 190]","(349, 61, 97)",red,0,74,red
36,"[190, 71, 92, 190]","(349, 61, 97)",red,0,74,red
37,"[190, 70, 92, 190]","(349, 61, 97)",red,0,74,red
38,"[190, 70, 92, 190]","(349, 61, 97)",red,0,74,red
39,"[190, 71, 92, 190]","(349, 61, 97)",red,0,74,red
40,"[190, 70, 92, 191]","(349, 61, 97)",red,0,99,red
41,"[190, 70, 92, 190]","(349, 61, 97)",red,0,74,red
42,"[190, 71, 92, 191]","(349, 61, 97)",red,0,74,red
43,"[190, 71, 92, 191]","(349, 61, 97)",red,0,74,red
44,"[190, 71, 92, 190]","(349, 61, 97)",red,0,74,red
45,"[190, 70, 92, 190]","(349, 61, 97)",red,0,74,red
46,"[190, 71, 92, 190]","(349, 61, 97)",red,0,74,red
47,"[190, 70, 92, 190]","(349, 61, 97)",red,0,74,red
48,"[190, 71, 92, 190]","(349, 61, 97)",red,0,99,red
49,"[190, 70, 92, 191]","(349, 61, 97)",red,0,99,red
50,"[148, 55, 71, 149]","(349, 61, 97)",red,0,74,red
51,"[190, 71, 92, 190]","(349, 61, 97)",red,0,74,red
52,"[190, 71, 92, 190]","(349, 61, 97)",red,0,74,red
53,"[170, 62, 81, 170]","(349, 61, 97)",red,0,74,red
54,"[190, 71, 92, 190]","(349, 61, 97)",red,0,74,red
55,"[190, 71, 92, 190]","(349, 61, 97)",red,0,74,red
56,"[190, 71, 92, 190]","(349, 61, 97)",red,0,74,red
57,"[183, 67, 87, 183]","(349, 61, 97)",red,0,74,red
58,"[190, 70, 92, 190]","(349, 61, 97)",red,0,74,red
59,"[190, 71, 92, 190]","(349, 61, 97)",red,0,74,red
