,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[75, 74, 73, 166]","(35, 2, 28)",green,0,49,white_new
1,"[53, 52, 51, 117]","(35, 2, 28)",green,0,65,white_new
2,"[56, 55, 54, 124]","(32, 2, 28)",green,0,49,white_new
3,"[38, 38, 37, 86]","(38, 2, 28)",green,0,49,white_new
4,"[56, 55, 55, 125]","(36, 2, 28)",green,0,49,white_new
5,"[56, 55, 54, 124]","(36, 1, 28)",green,0,64,white_new
6,"[56, 55, 54, 125]","(34, 2, 28)",green,0,49,white_new
7,"[56, 55, 54, 124]","(31, 2, 28)",green,0,49,white_new
8,"[37, 37, 36, 83]","(37, 1, 28)",green,0,49,white_new
9,"[56, 55, 54, 124]","(34, 2, 28)",green,0,64,white_new
10,"[56, 55, 54, 124]","(30, 1, 28)",green,0,49,white_new
11,"[56, 55, 54, 124]","(35, 2, 28)",green,0,49,white_new
12,"[56, 55, 54, 124]","(37, 2, 28)",green,0,49,white_new
13,"[56, 55, 55, 125]","(32, 2, 28)",green,0,65,white_new
14,"[56, 55, 54, 124]","(33, 1, 28)",green,0,49,white_new
