,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[190, 191, 191, 190]","(209, 0, 97)",white,0,74,white_new
1,"[190, 191, 191, 190]","(209, 0, 97)",white,0,74,white_new
2,"[160, 162, 162, 161]","(193, 0, 97)",white,0,74,white_new
3,"[190, 191, 191, 190]","(193, 0, 97)",white,0,74,white_new
4,"[190, 191, 191, 190]","(180, 0, 97)",white,0,74,white_new
5,"[190, 191, 191, 190]","(193, 0, 97)",white,0,74,white_new
6,"[190, 191, 191, 190]","(193, 0, 97)",white,0,74,white_new
7,"[190, 191, 191, 190]","(193, 0, 97)",white,0,74,white_new
8,"[190, 191, 191, 190]","(193, 0, 97)",white,0,74,white_new
9,"[190, 191, 191, 190]","(209, 0, 97)",white,0,74,white_new
10,"[190, 191, 191, 190]","(193, 0, 97)",white,0,74,white_new
11,"[190, 191, 191, 190]","(193, 0, 97)",white,0,98,white_new
12,"[190, 191, 191, 190]","(193, 0, 97)",white,0,74,white_new
13,"[190, 191, 191, 190]","(193, 0, 97)",white,0,74,white_new
14,"[170, 173, 172, 171]","(193, 0, 97)",white,0,98,white_new
15,"[190, 191, 191, 190]","(193, 0, 97)",white,0,99,white_new
16,"[190, 191, 191, 190]","(180, 0, 97)",white,0,74,white_new
17,"[190, 191, 191, 190]","(193, 0, 97)",white,0,98,white_new
18,"[190, 191, 191, 190]","(209, 0, 97)",white,0,74,white_new
19,"[190, 191, 191, 190]","(193, 0, 97)",white,0,98,white_new
20,"[190, 191, 191, 190]","(193, 0, 97)",white,1,74,white_new
21,"[190, 191, 191, 190]","(193, 0, 97)",white,0,74,white_new
22,"[190, 191, 191, 190]","(193, 0, 97)",white,0,74,white_new
23,"[190, 191, 191, 190]","(209, 0, 97)",white,0,98,white_new
24,"[76, 77, 76, 78]","(209, 0, 97)",white,0,98,white_new
25,"[190, 191, 191, 190]","(193, 0, 97)",white,0,74,white_new
26,"[190, 191, 191, 190]","(180, 0, 97)",white,0,74,white_new
27,"[190, 191, 191, 190]","(193, 0, 97)",white,0,74,white_new
28,"[122, 125, 125, 124]","(193, 0, 97)",white,0,74,white_new
29,"[190, 191, 191, 190]","(193, 0, 97)",white,0,74,white_new
30,"[190, 191, 191, 190]","(209, 0, 97)",white,0,98,white_new
31,"[190, 191, 191, 190]","(180, 0, 97)",white,0,98,white_new
32,"[157, 164, 162, 159]","(209, 0, 97)",white,0,74,white_new
33,"[190, 191, 191, 190]","(209, 0, 97)",white,1,99,white_new
34,"[190, 191, 191, 190]","(193, 0, 97)",white,0,98,white_new
35,"[190, 191, 191, 190]","(193, 0, 97)",white,0,74,white_new
36,"[127, 127, 127, 127]","(209, 0, 97)",white,0,74,white_new
37,"[190, 191, 191, 190]","(193, 0, 97)",white,2,74,white_new
38,"[190, 191, 191, 190]","(209, 0, 97)",white,0,74,white_new
39,"[127, 127, 127, 127]","(193, 0, 97)",white,0,99,white_new
40,"[190, 191, 191, 190]","(180, 0, 97)",white,0,74,white_new
41,"[135, 136, 136, 136]","(209, 0, 97)",white,0,74,white_new
42,"[190, 191, 191, 190]","(193, 0, 97)",white,0,98,white_new
43,"[190, 191, 191, 190]","(193, 0, 97)",white,0,98,white_new
44,"[190, 191, 191, 190]","(193, 0, 97)",white,0,74,white_new
45,"[190, 191, 191, 190]","(193, 0, 97)",white,1,74,white_new
46,"[190, 191, 191, 190]","(193, 0, 97)",white,0,74,white_new
47,"[127, 127, 127, 127]","(193, 0, 97)",white,0,74,white_new
48,"[145, 146, 146, 146]","(193, 0, 97)",white,0,98,white_new
49,"[190, 191, 191, 190]","(193, 0, 97)",white,0,74,white_new
50,"[190, 191, 191, 190]","(180, 0, 97)",white,0,98,white_new
51,"[190, 191, 191, 190]","(193, 0, 97)",white,0,98,white_new
52,"[190, 191, 191, 190]","(193, 0, 97)",white,0,74,white_new
53,"[190, 191, 191, 190]","(193, 0, 97)",white,1,74,white_new
54,"[190, 191, 191, 190]","(193, 0, 97)",white,0,74,white_new
55,"[190, 191, 191, 190]","(193, 0, 97)",white,1,74,white_new
56,"[190, 191, 191, 190]","(209, 0, 97)",white,0,74,white_new
57,"[190, 191, 191, 190]","(209, 0, 97)",white,0,74,white_new
58,"[190, 191, 191, 190]","(193, 0, 97)",white,0,98,white_new
59,"[190, 191, 191, 190]","(209, 0, 97)",white,2,74,white_new
