,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[184, 191, 191, 184]","(0, 0, 97)",white,0,74,white_new
1,"[190, 191, 191, 190]","(90, 0, 97)",white,0,99,white_new
2,"[191, 191, 191, 190]","(0, 0, 97)",white,0,74,white_new
3,"[191, 191, 191, 190]","(90, 0, 97)",white,0,74,white_new
4,"[168, 191, 191, 169]","(90, 0, 97)",white,0,74,white_new
5,"[190, 191, 191, 190]","(90, 0, 97)",white,0,74,white_new
6,"[191, 191, 191, 190]","(90, 0, 97)",white,0,74,white_new
7,"[191, 191, 191, 190]","(180, 0, 97)",white,0,74,white_new
8,"[191, 191, 191, 190]","(180, 0, 97)",white,0,99,white_new
9,"[191, 191, 191, 190]","(180, 0, 97)",white,0,74,white_new
10,"[191, 191, 191, 190]","(180, 0, 97)",white,0,99,white_new
11,"[191, 191, 191, 190]","(0, 0, 97)",white,0,74,white_new
12,"[191, 191, 191, 190]","(90, 0, 97)",white,2,74,white_new
13,"[191, 191, 191, 190]","(0, 0, 97)",white,2,74,white_new
14,"[191, 191, 191, 190]","(90, 0, 97)",white,0,99,white_new
15,"[191, 191, 191, 190]","(0, 0, 97)",white,0,74,white_new
16,"[191, 191, 191, 190]","(90, 0, 97)",white,0,74,white_new
17,"[191, 191, 191, 190]","(180, 0, 97)",white,0,74,white_new
18,"[191, 191, 191, 190]","(0, 0, 97)",white,0,74,white_new
19,"[191, 191, 191, 190]","(90, 0, 97)",white,0,74,white_new
20,"[128, 129, 129, 128]","(90, 0, 97)",white,0,74,white_new
21,"[191, 191, 191, 190]","(90, 0, 97)",white,0,74,white_new
22,"[191, 191, 191, 190]","(180, 0, 97)",white,0,74,white_new
23,"[191, 191, 191, 190]","(90, 0, 97)",white,0,99,white_new
24,"[191, 191, 191, 190]","(90, 0, 97)",white,0,74,white_new
25,"[191, 191, 191, 190]","(0, 0, 97)",white,0,74,white_new
26,"[191, 191, 191, 190]","(180, 0, 97)",white,0,74,white_new
27,"[191, 191, 191, 190]","(180, 0, 97)",white,0,74,white_new
28,"[190, 191, 191, 190]","(180, 0, 97)",white,0,74,white_new
29,"[191, 191, 191, 190]","(90, 0, 97)",white,0,74,white_new
30,"[190, 191, 191, 190]","(90, 0, 97)",white,0,74,white_new
31,"[191, 191, 191, 190]","(90, 0, 97)",white,0,74,white_new
32,"[191, 191, 191, 190]","(0, 0, 97)",white,0,74,white_new
33,"[191, 191, 191, 190]","(0, 0, 97)",white,0,99,white_new
34,"[191, 191, 191, 190]","(90, 0, 97)",white,0,74,white_new
35,"[191, 191, 191, 190]","(90, 0, 97)",white,0,74,white_new
36,"[181, 191, 191, 182]","(90, 0, 97)",white,0,74,white_new
37,"[191, 191, 191, 190]","(0, 0, 97)",white,0,74,white_new
38,"[191, 191, 191, 190]","(180, 0, 97)",white,0,74,white_new
39,"[191, 191, 191, 190]","(180, 0, 97)",white,0,74,white_new
40,"[191, 191, 191, 190]","(90, 0, 97)",white,0,74,white_new
41,"[161, 170, 187, 161]","(90, 0, 97)",white,0,74,white_new
42,"[190, 191, 191, 190]","(180, 0, 97)",white,0,74,white_new
43,"[135, 137, 141, 135]","(90, 0, 97)",white,0,99,white_new
44,"[191, 191, 191, 190]","(0, 0, 97)",white,0,74,white_new
45,"[191, 191, 191, 190]","(90, 0, 97)",white,0,74,white_new
46,"[191, 191, 191, 190]","(0, 0, 97)",white,0,74,white_new
47,"[191, 191, 191, 190]","(90, 0, 97)",white,0,99,white_new
48,"[191, 191, 191, 190]","(90, 0, 97)",white,0,74,white_new
49,"[191, 191, 191, 190]","(0, 0, 97)",white,0,99,white_new
50,"[127, 127, 127, 127]","(90, 0, 97)",white,0,74,white_new
51,"[190, 191, 191, 190]","(90, 0, 97)",white,0,74,white_new
52,"[191, 191, 191, 190]","(0, 0, 97)",white,0,74,white_new
53,"[191, 191, 191, 190]","(90, 0, 97)",white,0,74,white_new
54,"[191, 191, 191, 190]","(0, 0, 97)",white,0,74,white_new
55,"[191, 191, 191, 190]","(0, 0, 97)",white,0,74,white_new
56,"[191, 191, 191, 190]","(0, 0, 97)",white,0,74,white_new
57,"[190, 191, 191, 190]","(90, 0, 97)",white,0,74,white_new
58,"[172, 184, 191, 172]","(0, 0, 97)",white,0,74,white_new
59,"[127, 127, 127, 127]","(90, 0, 97)",white,0,74,white_new
