,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[33, 32, 30, 72]","(23, 8, 17)",black,1,44,white_old
1,"[33, 32, 30, 73]","(27, 8, 17)",black,2,43,white_old
2,"[33, 32, 30, 72]","(30, 8, 17)",black,3,43,white_old
3,"[33, 32, 30, 73]","(29, 8, 17)",black,3,42,white_old
4,"[33, 32, 30, 73]","(22, 7, 17)",black,3,42,white_old
5,"[22, 21, 20, 48]","(28, 8, 17)",black,3,42,white_old
6,"[33, 32, 30, 73]","(28, 8, 17)",black,3,43,white_old
7,"[25, 24, 23, 55]","(26, 7, 17)",black,3,42,white_old
8,"[34, 32, 30, 73]","(26, 8, 17)",black,3,43,white_old
9,"[33, 32, 30, 72]","(26, 8, 17)",black,3,28,white_old
10,"[33, 32, 30, 72]","(27, 8, 17)",black,2,43,white_old
11,"[33, 32, 30, 73]","(29, 7, 17)",black,3,43,white_old
12,"[33, 32, 30, 73]","(25, 8, 17)",black,3,28,white_old
13,"[33, 32, 30, 72]","(29, 8, 17)",black,3,43,white_old
14,"[33, 32, 30, 73]","(27, 8, 17)",black,3,44,white_old
