,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[189, 189, 179, 188]","(61, 4, 96)",white,0,76,white_old
1,"[161, 161, 152, 161]","(59, 5, 96)",white,0,76,white_old
2,"[180, 180, 170, 181]","(59, 4, 97)",white,0,76,white_old
3,"[150, 149, 141, 150]","(59, 5, 97)",white,0,76,white_old
4,"[189, 189, 179, 189]","(60, 4, 97)",white,0,76,white_old
5,"[189, 189, 179, 188]","(60, 4, 96)",white,0,76,white_old
6,"[189, 189, 180, 187]","(60, 4, 96)",white,0,77,white_old
7,"[189, 189, 179, 187]","(60, 4, 96)",white,0,78,white_old
8,"[189, 189, 180, 186]","(60, 4, 96)",white,1,77,white_old
9,"[188, 188, 179, 186]","(58, 4, 96)",white,1,78,white_old
10,"[188, 188, 179, 185]","(60, 3, 96)",white,1,79,white_old
11,"[188, 188, 180, 185]","(60, 3, 96)",white,1,78,white_old
12,"[188, 188, 180, 185]","(59, 3, 96)",white,1,78,white_old
13,"[188, 188, 180, 185]","(60, 3, 96)",white,1,79,white_old
14,"[163, 163, 155, 162]","(60, 3, 96)",white,1,78,white_old
15,"[125, 125, 119, 123]","(56, 3, 95)",white,1,72,white_old
16,"[187, 187, 179, 184]","(56, 3, 95)",white,1,79,white_old
17,"[187, 187, 180, 183]","(58, 3, 95)",white,1,80,white_old
18,"[186, 186, 179, 183]","(60, 3, 95)",white,1,80,white_old
19,"[187, 186, 180, 183]","(58, 3, 95)",white,1,96,white_old
20,"[125, 125, 120, 122]","(57, 3, 95)",white,1,80,white_old
21,"[187, 187, 180, 184]","(56, 3, 95)",white,1,72,white_old
22,"[187, 187, 179, 184]","(58, 3, 95)",white,1,96,white_old
23,"[188, 188, 180, 185]","(60, 3, 96)",white,1,78,white_old
24,"[188, 188, 180, 185]","(58, 3, 96)",white,1,79,white_old
25,"[188, 188, 179, 186]","(58, 4, 96)",white,1,78,white_old
26,"[188, 188, 180, 186]","(58, 3, 96)",white,1,78,white_old
27,"[189, 189, 180, 186]","(60, 4, 96)",white,1,77,white_old
28,"[189, 188, 179, 186]","(60, 4, 96)",white,1,77,white_old
29,"[189, 189, 180, 186]","(59, 4, 96)",white,1,77,white_old
30,"[189, 189, 180, 187]","(58, 4, 96)",white,1,98,white_old
31,"[189, 189, 179, 187]","(60, 4, 96)",white,0,77,white_old
32,"[189, 189, 180, 187]","(59, 4, 96)",white,0,77,white_old
33,"[165, 164, 156, 166]","(58, 4, 96)",white,0,77,white_old
34,"[189, 189, 180, 188]","(57, 4, 96)",white,0,98,white_old
35,"[189, 189, 180, 188]","(58, 4, 96)",white,0,77,white_old
36,"[189, 189, 179, 187]","(58, 4, 96)",white,0,77,white_old
37,"[189, 189, 180, 187]","(60, 4, 96)",white,0,77,white_old
38,"[189, 189, 180, 187]","(59, 4, 96)",white,1,77,white_old
39,"[189, 189, 180, 187]","(60, 4, 96)",white,0,77,white_old
40,"[189, 189, 180, 187]","(59, 4, 96)",white,0,77,white_old
41,"[189, 189, 180, 187]","(60, 4, 96)",white,0,77,white_old
42,"[189, 189, 180, 187]","(60, 4, 96)",white,0,93,white_old
43,"[189, 189, 180, 187]","(58, 4, 96)",white,1,77,white_old
44,"[184, 183, 173, 185]","(59, 4, 96)",white,0,77,white_old
45,"[126, 126, 119, 125]","(61, 4, 96)",white,0,76,white_old
46,"[189, 189, 180, 188]","(59, 4, 96)",white,0,76,white_old
47,"[189, 189, 180, 188]","(60, 4, 96)",white,0,76,white_old
48,"[189, 189, 180, 188]","(61, 4, 96)",white,0,76,white_old
49,"[189, 189, 180, 188]","(58, 4, 96)",white,0,76,white_old
50,"[189, 189, 180, 188]","(58, 4, 96)",white,0,77,white_old
51,"[189, 189, 180, 187]","(60, 4, 96)",white,0,98,white_old
52,"[189, 189, 180, 187]","(60, 4, 96)",white,0,77,white_old
53,"[189, 189, 180, 186]","(59, 4, 96)",white,0,77,white_old
54,"[189, 189, 180, 186]","(58, 4, 96)",white,1,77,white_old
55,"[179, 179, 170, 178]","(58, 4, 96)",white,1,77,white_old
56,"[189, 189, 180, 186]","(60, 4, 96)",white,1,77,white_old
57,"[189, 189, 180, 186]","(59, 4, 96)",white,1,77,white_old
58,"[189, 189, 180, 186]","(58, 4, 96)",white,1,77,white_old
59,"[189, 189, 179, 186]","(60, 4, 96)",white,1,77,white_old
