,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[189, 189, 189, 187]","(60, 0, 96)",white,1,94,white_old
1,"[189, 189, 189, 188]","(22, 0, 96)",white,0,94,white_old
2,"[247, 253, 252, 246]","(90, 0, 96)",white,0,76,white_old
3,"[129, 129, 129, 128]","(60, 0, 96)",white,0,95,white_old
4,"[189, 189, 189, 188]","(67, 0, 96)",white,0,76,white_old
5,"[126, 143, 173, 125]","(45, 0, 96)",white,1,98,white_old
6,"[180, 189, 189, 179]","(60, 0, 96)",white,0,94,white_old
7,"[189, 189, 189, 188]","(43, 0, 96)",white,0,76,white_old
8,"[189, 189, 189, 187]","(60, 0, 96)",white,0,94,white_old
9,"[189, 189, 189, 187]","(60, 0, 96)",white,0,94,white_old
10,"[189, 189, 189, 188]","(90, 0, 96)",white,1,76,white_old
11,"[189, 189, 189, 188]","(64, 0, 96)",white,0,76,white_old
12,"[126, 126, 126, 126]","(75, 0, 97)",white,0,73,white_old
13,"[190, 190, 189, 189]","(51, 0, 97)",white,0,76,white_old
14,"[153, 160, 173, 153]","(180, 0, 97)",white,0,97,white_old
15,"[190, 190, 190, 189]","(120, 0, 97)",white,0,75,white_old
16,"[192, 193, 193, 192]","(180, 0, 97)",white,0,75,white_old
17,"[127, 127, 127, 127]","(226, 0, 97)",white,0,75,white_old
18,"[190, 190, 190, 190]","(180, 0, 97)",white,0,98,white_old
19,"[190, 190, 190, 190]","(0, 0, 97)",white,0,74,white_old
20,"[190, 190, 190, 190]","(0, 0, 97)",white,0,98,white_old
21,"[190, 190, 190, 190]","(0, 0, 97)",white,0,98,white_old
22,"[190, 190, 190, 190]","(0, 0, 97)",white,0,98,white_old
23,"[241, 254, 254, 241]","(0, 0, 97)",white,0,74,white_old
24,"[190, 190, 191, 190]","(0, 0, 97)",white,0,74,white_old
25,"[190, 191, 191, 190]","(209, 0, 97)",white,0,74,white_old
26,"[190, 191, 191, 190]","(180, 0, 97)",white,0,74,white_old
27,"[136, 139, 142, 137]","(0, 0, 97)",white,0,74,white_old
28,"[190, 190, 190, 190]","(180, 0, 97)",white,1,75,white_old
29,"[190, 190, 190, 190]","(209, 0, 97)",white,0,75,white_old
30,"[190, 190, 190, 190]","(193, 0, 97)",white,0,75,white_old
31,"[190, 190, 190, 190]","(180, 0, 97)",white,0,98,white_old
32,"[190, 190, 190, 190]","(0, 0, 97)",white,0,98,white_old
33,"[190, 191, 191, 190]","(193, 0, 97)",white,2,99,white_old
34,"[190, 191, 191, 190]","(180, 0, 97)",white,0,98,white_old
35,"[191, 191, 191, 190]","(180, 0, 97)",white,0,74,white_old
36,"[190, 191, 191, 190]","(90, 0, 97)",white,0,74,white_old
37,"[167, 179, 191, 167]","(0, 0, 97)",white,1,74,white_old
38,"[191, 191, 191, 190]","(0, 0, 97)",white,0,99,white_old
39,"[191, 191, 191, 191]","(0, 0, 97)",white,0,74,white_old
40,"[191, 191, 191, 191]","(0, 0, 97)",white,0,74,white_old
41,"[191, 191, 191, 190]","(0, 0, 97)",white,0,99,white_old
42,"[191, 191, 191, 190]","(0, 0, 97)",white,0,74,white_old
43,"[191, 191, 191, 190]","(0, 0, 97)",white,0,74,white_old
44,"[190, 191, 191, 190]","(90, 0, 97)",white,0,74,white_old
45,"[190, 191, 191, 190]","(180, 0, 97)",white,1,74,white_old
46,"[190, 191, 191, 190]","(180, 0, 97)",white,0,74,white_old
47,"[190, 190, 190, 190]","(90, 0, 97)",white,0,99,white_old
48,"[190, 190, 190, 190]","(146, 0, 97)",white,0,75,white_old
49,"[127, 127, 127, 126]","(120, 0, 97)",white,0,75,white_old
50,"[190, 190, 190, 190]","(226, 0, 97)",white,0,75,white_old
51,"[190, 190, 190, 190]","(0, 0, 97)",white,0,74,white_old
52,"[190, 191, 191, 190]","(193, 0, 97)",white,0,74,white_old
53,"[130, 148, 181, 130]","(193, 0, 97)",white,0,74,white_old
54,"[190, 191, 191, 190]","(193, 0, 97)",white,0,74,white_old
55,"[132, 134, 136, 133]","(193, 0, 97)",white,0,99,white_old
56,"[190, 190, 191, 190]","(209, 0, 97)",white,0,99,white_old
57,"[190, 190, 191, 190]","(209, 0, 97)",white,0,74,white_old
58,"[190, 190, 190, 190]","(300, 0, 97)",white,0,99,white_old
59,"[190, 190, 190, 190]","(0, 0, 97)",white,1,99,white_old
