,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[32, 24, 17, 59]","(28, 46, 16)",black,6,-5,yellow
1,"[31, 24, 16, 57]","(29, 46, 16)",black,7,-7,yellow
2,"[31, 23, 16, 57]","(27, 46, 16)",black,7,29,yellow
3,"[31, 24, 16, 57]","(28, 46, 16)",black,6,50,yellow
4,"[22, 16, 11, 40]","(27, 46, 16)",black,4,51,yellow
5,"[31, 24, 16, 57]","(29, 46, 16)",black,4,22,yellow
6,"[31, 24, 16, 57]","(29, 46, 16)",black,4,51,yellow
7,"[31, 23, 15, 57]","(28, 46, 16)",black,4,50,yellow
8,"[31, 24, 16, 57]","(29, 46, 16)",black,6,54,yellow
9,"[24, 18, 12, 44]","(27, 46, 16)",black,6,52,yellow
10,"[31, 24, 16, 57]","(29, 46, 16)",black,4,50,yellow
11,"[31, 23, 16, 57]","(29, 47, 16)",black,6,53,yellow
12,"[31, 24, 16, 57]","(29, 46, 16)",black,4,52,yellow
13,"[39, 30, 20, 72]","(28, 46, 16)",black,5,47,yellow
14,"[21, 15, 10, 38]","(28, 47, 16)",black,5,44,yellow
15,"[31, 23, 16, 57]","(27, 45, 16)",black,4,44,yellow
16,"[31, 24, 15, 57]","(29, 47, 16)",black,4,22,yellow
17,"[23, 17, 11, 42]","(28, 47, 16)",black,3,44,yellow
18,"[31, 23, 16, 57]","(28, 46, 16)",black,4,44,yellow
19,"[31, 23, 15, 57]","(28, 47, 16)",black,4,44,yellow
20,"[31, 23, 15, 57]","(28, 47, 16)",black,5,45,yellow
21,"[31, 23, 16, 57]","(28, 46, 16)",black,4,46,yellow
22,"[31, 23, 16, 57]","(28, 46, 16)",black,4,46,yellow
23,"[31, 24, 15, 57]","(29, 46, 16)",black,5,45,yellow
24,"[31, 23, 16, 57]","(27, 46, 16)",black,5,46,yellow
25,"[33, 24, 17, 60]","(27, 46, 16)",black,5,22,yellow
26,"[31, 24, 16, 57]","(28, 46, 16)",black,5,46,yellow
27,"[28, 21, 14, 51]","(27, 46, 16)",black,3,44,yellow
28,"[31, 23, 16, 57]","(27, 46, 16)",black,3,44,yellow
29,"[31, 23, 15, 57]","(28, 47, 16)",black,4,45,yellow
