,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[11, 8, 5, 20]","(29, 44, 5)",black,5,10,yellow
1,"[11, 8, 5, 20]","(29, 45, 5)",black,6,36,yellow
2,"[10, 7, 5, 19]","(29, 45, 5)",black,6,36,yellow
3,"[11, 8, 6, 20]","(27, 41, 5)",black,6,9,yellow
4,"[11, 8, 6, 20]","(30, 44, 5)",black,6,37,yellow
5,"[11, 8, 6, 20]","(29, 41, 5)",black,6,37,yellow
6,"[10, 8, 5, 20]","(29, 44, 5)",black,4,7,yellow
7,"[11, 8, 6, 20]","(29, 43, 5)",black,6,7,yellow
8,"[11, 8, 5, 20]","(33, 45, 5)",black,6,36,yellow
9,"[11, 8, 6, 20]","(27, 43, 5)",black,6,35,yellow
10,"[11, 8, 6, 20]","(25, 41, 5)",black,6,35,yellow
11,"[11, 8, 6, 20]","(31, 42, 5)",black,5,34,yellow
12,"[11, 8, 6, 20]","(29, 41, 5)",black,4,34,yellow
13,"[11, 8, 6, 20]","(27, 42, 5)",black,6,37,yellow
14,"[11, 8, 5, 20]","(30, 45, 5)",black,6,-23,yellow
