,RGBI_measurement,HSV_measurement,color_measurement,ambient_measurement,reflected_measurement,color_real
0,"[183, 139, 94, 182]","(30, 47, 93)",yellow,1,81,yellow
1,"[183, 138, 94, 181]","(29, 47, 93)",yellow,1,82,yellow
2,"[183, 139, 94, 178]","(30, 46, 93)",yellow,2,84,yellow
3,"[183, 139, 94, 179]","(30, 47, 93)",yellow,3,69,yellow
4,"[183, 139, 94, 183]","(29, 47, 93)",yellow,2,80,yellow
5,"[184, 139, 94, 182]","(30, 46, 93)",yellow,2,81,yellow
6,"[183, 139, 94, 183]","(29, 47, 93)",yellow,2,80,yellow
7,"[183, 139, 94, 184]","(30, 47, 93)",yellow,1,79,yellow
8,"[136, 103, 70, 139]","(30, 47, 93)",yellow,1,79,yellow
9,"[183, 139, 94, 185]","(30, 46, 93)",yellow,1,97,yellow
10,"[183, 139, 94, 185]","(30, 47, 93)",yellow,1,78,yellow
11,"[173, 132, 89, 177]","(30, 47, 93)",yellow,1,79,yellow
12,"[183, 139, 94, 185]","(30, 46, 93)",yellow,1,79,yellow
13,"[121, 92, 62, 124]","(30, 47, 93)",yellow,1,78,yellow
14,"[135, 103, 69, 139]","(30, 47, 93)",yellow,1,78,yellow
15,"[181, 138, 93, 186]","(30, 46, 92)",yellow,1,97,yellow
16,"[181, 137, 93, 186]","(30, 46, 92)",yellow,1,77,yellow
17,"[181, 137, 93, 187]","(30, 46, 92)",yellow,1,77,yellow
18,"[181, 137, 93, 187]","(30, 46, 92)",yellow,0,77,yellow
19,"[181, 138, 93, 186]","(30, 46, 92)",yellow,0,97,yellow
20,"[181, 138, 93, 186]","(30, 46, 92)",yellow,1,77,yellow
21,"[138, 105, 71, 143]","(30, 47, 92)",yellow,1,72,yellow
22,"[180, 138, 93, 186]","(30, 47, 92)",yellow,1,97,yellow
23,"[147, 111, 75, 154]","(30, 46, 92)",yellow,1,72,yellow
24,"[134, 101, 68, 140]","(30, 47, 92)",yellow,1,78,yellow
25,"[182, 138, 93, 186]","(30, 47, 93)",yellow,1,78,yellow
26,"[182, 138, 93, 186]","(30, 47, 92)",yellow,1,72,yellow
27,"[182, 138, 93, 186]","(30, 47, 92)",yellow,1,97,yellow
28,"[113, 86, 58, 118]","(30, 47, 92)",yellow,1,78,yellow
29,"[182, 138, 93, 186]","(30, 47, 93)",yellow,1,78,yellow
30,"[182, 139, 93, 185]","(30, 47, 92)",yellow,1,78,yellow
31,"[182, 138, 93, 184]","(30, 47, 93)",yellow,1,79,yellow
32,"[181, 137, 93, 184]","(30, 47, 92)",yellow,1,79,yellow
33,"[181, 138, 93, 183]","(30, 47, 92)",yellow,1,80,yellow
34,"[181, 138, 93, 183]","(30, 46, 92)",yellow,1,80,yellow
35,"[181, 138, 93, 183]","(30, 47, 92)",yellow,1,80,yellow
36,"[182, 138, 93, 184]","(30, 46, 92)",yellow,1,79,yellow
37,"[182, 138, 93, 185]","(30, 47, 93)",yellow,1,72,yellow
38,"[181, 138, 93, 184]","(30, 46, 92)",yellow,1,72,yellow
39,"[182, 138, 93, 184]","(30, 47, 92)",yellow,1,79,yellow
40,"[143, 108, 73, 146]","(30, 47, 92)",yellow,1,79,yellow
41,"[182, 138, 93, 184]","(30, 47, 93)",yellow,1,96,yellow
42,"[182, 138, 94, 184]","(30, 47, 93)",yellow,1,79,yellow
43,"[182, 138, 93, 184]","(30, 47, 93)",yellow,1,79,yellow
44,"[183, 138, 93, 184]","(30, 47, 92)",yellow,1,79,yellow
45,"[182, 138, 93, 184]","(30, 47, 93)",yellow,1,79,yellow
46,"[182, 138, 93, 184]","(30, 47, 93)",yellow,1,72,yellow
47,"[182, 138, 94, 184]","(30, 47, 93)",yellow,1,79,yellow
48,"[182, 138, 93, 185]","(30, 47, 92)",yellow,1,78,yellow
49,"[182, 139, 94, 185]","(29, 47, 93)",yellow,1,79,yellow
50,"[175, 133, 90, 179]","(30, 47, 93)",yellow,1,96,yellow
51,"[182, 138, 94, 185]","(30, 47, 93)",yellow,1,79,yellow
52,"[169, 128, 86, 173]","(30, 47, 93)",yellow,1,72,yellow
53,"[196, 148, 100, 199]","(30, 47, 93)",yellow,1,79,yellow
54,"[182, 138, 93, 183]","(30, 47, 93)",yellow,1,80,yellow
55,"[183, 139, 94, 183]","(30, 47, 93)",yellow,1,80,yellow
56,"[182, 139, 94, 182]","(29, 47, 93)",yellow,1,81,yellow
57,"[115, 87, 59, 115]","(29, 47, 93)",yellow,2,82,yellow
58,"[122, 92, 63, 121]","(30, 46, 93)",yellow,2,95,yellow
59,"[183, 138, 94, 183]","(30, 47, 93)",yellow,1,72,yellow
